Warming up READ with 50000 iterations...
INFO  22:51:29 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
Connected to cluster: cstar_perf TOWHRLAN5U
Datatacenter: datacenter1; Host: cassandra/172.31.3.64; Rack: rack1
INFO  22:51:29 New Cassandra host cassandra/172.31.3.64:9042 added
Sleeping 2s...
Running READ with 500 threads for 150000000 iteration
total ops , adj row/s,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr,  gc: #,  max ms,  sum ms,  sdv ms,      mb
128240    ,    128209,  128209,  128209,  128209,     3.9,     3.0,     5.9,    50.0,    63.2,   118.4,    1.0,  0.00000,      0,       0,       0,       0,       0
275008    ,    141703,  141703,  141703,  141703,     3.1,     2.8,     4.2,    13.0,    28.7,   116.2,    2.0,  0.00000,      1,     107,     107,       0,    8129
455056    ,    170054,  170054,  170054,  170054,     3.2,     2.8,     4.0,     5.7,   116.0,   117.7,    3.1,  0.03535,      0,       0,       0,       0,       0
640853    ,    175354,  175354,  175354,  175354,     2.8,     2.7,     3.7,     4.2,     5.6,    20.5,    4.2,  0.06865,      0,       0,       0,       0,       0
800092    ,    173564,  151297,  151297,  151297,     3.3,     2.7,     3.9,     9.4,   139.4,   141.6,    5.2,  0.06357,      1,     134,     134,       0,    8094
989848    ,    180762,  180762,  180762,  180762,     2.8,     2.7,     3.6,     4.0,     4.5,     7.3,    6.3,  0.05440,      0,       0,       0,       0,       0
1155280   ,    177834,  157072,  157072,  157072,     3.2,     2.7,     3.6,     4.3,   127.1,   128.5,    7.3,  0.04926,      1,     121,     121,       0,    8126
1345216   ,    180958,  180958,  180958,  180958,     2.8,     2.7,     3.6,     4.0,     5.4,    21.1,    8.4,  0.04364,      0,       0,       0,       0,       0
1509557   ,    177189,  156043,  156043,  156043,     3.2,     2.7,     3.7,     5.3,   128.7,   131.5,    9.4,  0.03956,      1,     123,     123,       0,    8124
1698238   ,    179637,  179637,  179637,  179637,     2.8,     2.7,     3.6,     4.1,     4.6,     6.6,   10.5,  0.03559,      0,       0,       0,       0,       0
1872746   ,    181162,  165788,  165788,  165788,     3.0,     2.7,     3.6,     4.1,    92.9,    94.9,   11.5,  0.03255,      1,      87,      87,       0,    8117
2060418   ,    178197,  178197,  178197,  178197,     2.8,     2.7,     3.6,     4.1,    14.7,    16.0,   12.6,  0.03009,      0,       0,       0,       0,       0
2250120   ,    180473,  180473,  180473,  180473,     2.8,     2.7,     3.6,     4.0,    11.0,    38.5,   13.6,  0.02776,      0,       0,       0,       0,       0
2423895   ,    175217,  159289,  159289,  159289,     3.1,     2.7,     3.8,     5.6,   103.3,   106.0,   14.7,  0.02587,      1,      96,      96,       0,    8111
2614312   ,    181165,  181165,  181165,  181165,     2.7,     2.7,     3.6,     4.0,     4.5,     6.4,   15.8,  0.02404,      0,       0,       0,       0,       0
2784476   ,    179605,  161800,  161800,  161800,     3.1,     2.7,     3.6,     4.3,   108.3,   109.8,   16.8,  0.02265,      1,     102,     102,       0,    8103
2974912   ,    181610,  181610,  181610,  181610,     2.7,     2.7,     3.6,     4.0,     4.7,    19.5,   17.9,  0.02134,      0,       0,       0,       0,       0
3146307   ,    179665,  162631,  162631,  162631,     3.1,     2.7,     3.6,     4.4,   103.5,   105.0,   18.9,  0.02024,      1,      99,      99,       0,    8123
3336526   ,    178881,  178881,  178881,  178881,     2.8,     2.7,     3.6,     4.2,    13.8,    18.9,   20.0,  0.01918,      0,       0,       0,       0,       0
3525765   ,    179969,  179969,  179969,  179969,     2.8,     2.7,     3.6,     4.2,     8.2,    28.7,   21.0,  0.01822,      0,       0,       0,       0,       0
3697821   ,    179045,  160573,  160573,  160573,     3.1,     2.7,     3.6,     4.4,   113.0,   115.7,   22.1,  0.01736,      1,     107,     107,       0,    8118
3887167   ,    181459,  181459,  181459,  181459,     2.7,     2.7,     3.5,     4.0,     9.8,    17.9,   23.1,  0.01657,      0,       0,       0,       0,       0
4058187   ,    181363,  162892,  162892,  162892,     3.1,     2.7,     3.6,     4.1,   110.0,   111.8,   24.2,  0.01589,      1,     105,     105,       0,    8115
4246484   ,    179595,  179595,  179595,  179595,     2.8,     2.7,     3.6,     4.1,     8.8,    11.0,   25.2,  0.01526,      0,       0,       0,       0,       0
4414995   ,    180351,  163371,  163371,  163371,     3.0,     2.7,     3.7,     4.3,   100.8,   105.1,   26.3,  0.01465,      1,      95,      95,       0,    8115
4600805   ,    180511,  180511,  180511,  180511,     2.8,     2.7,     3.6,     4.0,     6.0,    29.4,   27.3,  0.01409,      0,       0,       0,       0,       0
4788853   ,    178935,  178935,  178935,  178935,     2.8,     2.7,     3.6,     4.2,     6.9,    20.7,   28.4,  0.01358,      0,       0,       0,       0,       0
4954765   ,    179135,  160409,  160409,  160409,     3.1,     2.7,     3.6,     4.3,   111.0,   112.7,   29.4,  0.01309,      1,     105,     105,       0,    8114
