Warming up READ with 50000 iterations...
INFO  22:18:38 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
Connected to cluster: cstar_perf TOWHRLAN5U
Datatacenter: datacenter1; Host: cassandra/172.31.3.64; Rack: rack1
INFO  22:18:38 New Cassandra host cassandra/172.31.3.64:9042 added
Sleeping 2s...
Running READ with 500 threads for 150000000 iteration
total ops , adj row/s,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr,  gc: #,  max ms,  sum ms,  sdv ms,      mb
135821    ,    135798,  135798,  135798,  135798,     3.8,     2.8,     4.4,    30.8,    86.1,   111.4,    1.0,  0.00000,      0,       0,       0,       0,       0
287638    ,    158419,  146821,  146821,  146821,     3.4,     2.8,     4.3,    17.2,    79.8,    81.2,    2.0,  0.00000,      1,      73,      73,       0,    8138
468649    ,    171562,  171562,  171562,  171562,     2.9,     2.8,     3.9,     4.6,    15.8,    18.3,    3.1,  0.05437,      0,       0,       0,       0,       0
652015    ,    174491,  174491,  174491,  174491,     2.9,     2.7,     3.8,     4.3,    14.8,    16.9,    4.1,  0.05493,      0,       0,       0,       0,       0
814072    ,    175286,  154014,  154014,  154014,     3.2,     2.7,     3.8,     4.6,   131.4,   132.9,    5.2,  0.04768,      1,     126,     126,       0,    8102
992833    ,    170527,  170527,  170527,  170527,     2.9,     2.8,     3.9,     4.5,    15.3,    22.4,    6.2,  0.04098,      0,       0,       0,       0,       0
1153309   ,    174323,  152603,  152603,  152603,     3.3,     2.8,     3.8,     4.4,   134.4,   136.5,    7.3,  0.03458,      1,     130,     130,       0,    8116
1335228   ,    173489,  173489,  173489,  173489,     2.9,     2.8,     3.8,     4.3,    12.6,    13.6,    8.3,  0.03045,      0,       0,       0,       0,       0
1518189   ,    174016,  174016,  174016,  174016,     2.9,     2.8,     3.8,     4.4,     5.9,    10.9,    9.4,  0.02703,      0,       0,       0,       0,       0
1686056   ,    174802,  159786,  159786,  159786,     3.1,     2.8,     3.8,     4.5,    93.4,    95.1,   10.4,  0.02434,      1,      88,      88,       0,    8126
1867402   ,    174716,  172532,  172532,  172532,     2.9,     2.8,     3.8,     4.4,    16.0,    18.0,   11.5,  0.02220,      0,       0,       0,       0,       0
2034471   ,    174313,  158481,  158481,  158481,     3.1,     2.8,     3.8,     4.5,    98.7,   100.3,   12.5,  0.02038,      1,      93,      93,       0,    8122
2217517   ,    174564,  174564,  174564,  174564,     2.9,     2.8,     3.8,     4.3,     5.2,     8.6,   13.6,  0.01881,      0,       0,       0,       0,       0
2383225   ,    175278,  156956,  156956,  156956,     3.2,     2.8,     3.7,     4.6,   113.1,   115.7,   14.7,  0.01747,      1,     108,     108,       0,    8112
2566913   ,    175193,  175193,  175193,  175193,     2.8,     2.8,     3.7,     4.2,     4.9,     5.8,   15.7,  0.01634,      0,       0,       0,       0,       0
2751115   ,    175344,  175344,  175344,  175344,     2.8,     2.8,     3.8,     4.2,     4.8,     5.7,   16.8,  0.01534,      0,       0,       0,       0,       0
2916111   ,    174820,  156775,  156775,  156775,     3.2,     2.8,     3.8,     4.3,   112.1,   113.5,   17.8,  0.01446,      1,     105,     105,       0,    8104
3095921   ,    171369,  171369,  171369,  171369,     2.9,     2.8,     3.8,     4.3,    23.0,    24.5,   18.9,  0.01366,      0,       0,       0,       0,       0
3260287   ,    175537,  156405,  156405,  156405,     3.2,     2.8,     3.7,     4.3,   118.7,   120.7,   19.9,  0.01290,      1,     113,     113,       0,    8125
3445203   ,    176563,  176563,  176563,  176563,     2.8,     2.8,     3.7,     4.1,     4.6,     5.3,   21.0,  0.01228,      0,       0,       0,       0,       0
3628467   ,    174298,  174298,  174298,  174298,     2.9,     2.8,     3.8,     4.4,     5.5,     9.1,   22.0,  0.01174,      0,       0,       0,       0,       0
3794093   ,    175174,  157336,  157336,  157336,     3.2,     2.8,     3.7,     4.6,   110.6,   112.9,   23.1,  0.01120,      1,     106,     106,       0,    8116
3978284   ,    175856,  175856,  175856,  175856,     2.8,     2.8,     3.7,     4.2,     4.8,     7.8,   24.1,  0.01072,      0,       0,       0,       0,       0
4140877   ,    175210,  157720,  157720,  157720,     3.2,     2.8,     3.8,     4.4,   107.4,   109.7,   25.1,  0.01029,      1,     102,     102,       0,    8115
