t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441833076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441833077,20,1163.698435,957.730026,617.808771,129.043011,939.413769,1047.656015,1161.248005,1163.698435,1163.698435,1163.698435,9.933221,0.000000,0.000000,0.000000,calls/second,milliseconds
1441833078,51,2041.710645,1392.620749,617.808771,405.903727,1384.984398,1774.369570,1985.450916,2039.797351,2041.710645,2041.710645,16.926243,0.000000,0.000000,0.000000,calls/second,milliseconds
1441833079,71,2775.761144,1705.588441,617.808771,622.722767,1754.833520,2187.355018,2730.426040,2769.274817,2775.761144,2775.761144,17.692148,0.000000,0.000000,0.000000,calls/second,milliseconds
1441833080,84,3420.830678,1915.227584,617.808771,758.826714,1804.456409,2650.715454,3186.550174,3374.169424,3420.830678,3420.830678,16.759165,16.800000,16.800000,16.800000,calls/second,milliseconds
1441833081,104,4576.744600,2362.698148,617.808771,1149.550456,2149.054566,3059.104494,4408.355402,4426.691067,4569.252087,4576.744600,17.298076,16.800000,16.800000,16.800000,calls/second,milliseconds
1441833082,147,5526.744228,3217.386923,617.808771,1649.948108,2885.983328,5082.205053,5471.952406,5496.883981,5512.633963,5526.744228,20.962558,16.800000,16.800000,16.800000,calls/second,milliseconds
1441833083,192,6319.655958,3868.361735,617.808771,1866.131558,4351.585499,5496.477460,6229.060985,6253.524194,6286.165633,6319.655958,23.964704,16.800000,16.800000,16.800000,calls/second,milliseconds
1441833084,232,7130.404353,4377.931583,617.808771,2034.831017,5191.836371,6099.488326,7038.411743,7097.704256,7122.930677,7130.404353,25.742827,16.800000,16.800000,16.800000,calls/second,milliseconds
1441833085,6800,8491.990680,3549.082706,162.251973,2190.693667,3374.067352,5335.739894,7343.897996,7913.374600,8270.020549,8491.060180,679.026205,122.837097,38.720158,24.147350,calls/second,milliseconds
