t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441832611,7,237.622852,207.019185,178.786877,25.643026,198.730923,232.329874,237.622852,237.622852,237.622852,237.622852,6.904394,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832612,81,1062.327984,665.777407,178.786877,246.920235,715.499601,874.687617,1010.577824,1041.333763,1062.327984,1062.327984,40.289795,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832613,181,1784.901001,1059.081204,178.786877,422.007928,1120.636527,1399.190885,1728.085921,1777.051581,1781.710881,1784.901001,60.120013,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832614,243,2596.356345,1356.769078,178.786877,640.178168,1285.700869,1812.218636,2506.755057,2581.472393,2591.708110,2596.356345,60.590449,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832615,2282,2829.997897,1265.511735,22.363300,822.678311,1241.565418,1886.360799,2676.755704,2743.155246,2770.523108,2829.237847,455.415546,456.400000,456.400000,456.400000,calls/second,milliseconds
1441832616,2401,2829.997897,1262.302100,22.363300,808.600927,1233.005383,1847.962210,2674.921652,2738.840735,2761.082540,2829.237847,399.445701,456.400000,456.400000,456.400000,calls/second,milliseconds
1441832617,4876,2803.789285,1137.901143,8.834104,741.556368,1125.916805,1701.842621,2500.069128,2692.073665,2736.263949,2803.702468,695.501187,456.400000,456.400000,456.400000,calls/second,milliseconds
1441832618,4986,2803.789285,1125.604809,8.834104,739.909393,1059.791411,1693.386829,2500.069128,2692.073665,2736.263949,2803.702468,622.411841,456.400000,456.400000,456.400000,calls/second,milliseconds
1441832619,5113,2803.789285,1129.459710,8.834104,732.163468,1120.511954,1687.475652,2490.112770,2674.864050,2729.355372,2803.702468,567.434096,456.400000,456.400000,456.400000,calls/second,milliseconds
1441832620,8195,2803.789285,1174.801328,15.087832,738.559153,1163.150868,1793.625550,2381.671618,2564.297928,2682.010587,2803.590471,818.626298,514.431764,468.396419,460.421042,calls/second,milliseconds
1441832621,8367,2803.789285,1167.144830,15.087832,732.709634,1143.478076,1773.983755,2381.671618,2564.297928,2682.010587,2803.590471,759.898860,514.431764,468.396419,460.421042,calls/second,milliseconds
1441832622,10623,2803.789285,1059.452155,15.092302,690.267761,973.957574,1532.312317,2328.456261,2509.177061,2665.107406,2803.590471,884.463305,514.431764,468.396419,460.421042,calls/second,milliseconds
1441832623,12091,2803.789285,976.449843,12.158706,678.573018,884.065252,1407.798491,2267.336245,2497.051706,2638.860624,2803.590471,929.312542,514.431764,468.396419,460.421042,calls/second,milliseconds
1441832624,14001,2796.933625,915.247133,12.158706,658.962087,800.485638,1312.636126,2150.434839,2474.210257,2590.140261,2795.855734,999.308246,514.431764,468.396419,460.421042,calls/second,milliseconds
1441832625,14126,2796.933625,910.013607,12.158706,655.142214,790.199877,1299.440557,2133.929646,2474.210257,2590.140261,2795.855734,941.061251,568.175369,480.267280,464.444184,calls/second,milliseconds
1441832626,17331,2759.764978,900.257044,12.158706,627.702867,806.800288,1310.665361,2079.790368,2448.751477,2512.423364,2758.208914,1082.465174,568.175369,480.267280,464.444184,calls/second,milliseconds
