t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441832611,7,237.622852,207.019185,178.786877,25.643026,198.730923,232.329874,237.622852,237.622852,237.622852,237.622852,6.877817,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832612,132,1062.327984,705.856933,178.786877,226.743586,728.702241,909.013515,1007.657029,1029.861943,1051.830343,1062.327984,65.543718,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832613,333,1784.901001,1109.277263,178.786877,391.798698,1124.703105,1423.865089,1677.866336,1742.510116,1777.766340,1784.901001,110.481278,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832614,463,2596.356345,1415.781245,178.786877,609.720713,1376.419014,1826.075348,2516.068129,2569.676955,2585.112810,2596.356345,115.340916,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832615,4406,2803.789285,1274.767556,10.799338,803.060956,1265.662734,1856.897934,2632.036059,2718.336270,2749.118799,2803.247976,878.873091,881.200000,881.200000,881.200000,calls/second,milliseconds
1441832616,4640,2803.789285,1267.557261,13.391501,790.141792,1259.815948,1835.509669,2609.678548,2714.619529,2749.118799,2803.247976,771.596057,881.200000,881.200000,881.200000,calls/second,milliseconds
1441832617,9555,2785.123452,1132.871982,10.482549,721.645810,1103.851342,1704.182662,2364.004973,2676.137239,2722.969803,2784.819267,1362.435628,881.200000,881.200000,881.200000,calls/second,milliseconds
1441832618,9783,2785.123452,1125.403721,10.482549,716.574964,1055.159971,1694.779094,2356.280360,2676.137239,2722.969803,2784.819267,1220.964324,881.200000,881.200000,881.200000,calls/second,milliseconds
1441832619,10010,2785.123452,1133.730555,10.482549,712.578034,1109.829196,1689.881301,2356.280360,2676.137239,2722.969803,2784.819267,1110.709227,881.200000,881.200000,881.200000,calls/second,milliseconds
1441832620,16315,2785.123452,1181.586707,7.716318,724.078194,1167.246702,1782.346437,2392.355466,2516.340693,2679.766179,2784.697967,1629.490597,1001.117387,905.989514,889.509120,calls/second,milliseconds
1441832621,16651,2785.123452,1164.064776,7.716318,718.417016,1127.165665,1763.957072,2379.033987,2512.341567,2679.766179,2784.697967,1512.047180,1001.117387,905.989514,889.509120,calls/second,milliseconds
1441832622,21120,2785.123452,1063.942573,3.236379,682.777880,982.461962,1573.854616,2304.335452,2499.799943,2566.490680,2784.697967,1758.208984,1001.117387,905.989514,889.509120,calls/second,milliseconds
1441832623,23973,2785.123452,976.451104,3.236379,680.964985,855.720363,1420.473258,2280.787918,2494.798673,2546.887496,2784.697967,1842.248537,1001.117387,905.989514,889.509120,calls/second,milliseconds
1441832624,27836,2761.576796,889.835425,3.236379,658.318789,734.163321,1301.811972,2241.122021,2465.984285,2516.527634,2760.914811,1986.533745,1001.117387,905.989514,889.509120,calls/second,milliseconds
1441832625,28116,2761.576796,885.966796,3.236379,655.296426,727.176599,1296.017865,2218.725213,2465.984285,2516.527634,2760.914811,1872.805599,1109.847597,930.038722,897.661403,calls/second,milliseconds
1441832626,34441,2704.762172,872.549161,5.135332,626.527705,728.341901,1299.512051,2090.383742,2343.507902,2502.844443,2704.442789,2150.889919,1109.847597,930.038722,897.661403,calls/second,milliseconds
1441832627,38108,2704.762172,835.818479,5.135332,610.640755,701.590184,1230.079120,2065.496216,2333.913903,2500.678290,2704.442789,2240.011569,1109.847597,930.038722,897.661403,calls/second,milliseconds
1441832628,43063,2693.748959,764.654245,5.135332,604.656728,600.830859,1105.873881,2018.121284,2303.735662,2486.211222,2688.812271,2390.742074,1109.847597,930.038722,897.661403,calls/second,milliseconds
1441832629,46558,2693.748959,735.234608,5.135332,597.808551,540.732692,1018.105882,1984.461404,2303.735662,2486.211222,2688.812271,2448.835426,1109.847597,930.038722,897.661403,calls/second,milliseconds
1441832630,46946,2693.748959,728.605734,5.135332,592.455481,534.124117,1006.845183,1972.937686,2286.860909,2451.352231,2688.812271,2345.907277,1322.221817,976.913039,913.552435,calls/second,milliseconds
1441832631,53045,2693.748959,719.138787,5.135332,567.282624,544.365045,998.244603,1930.425121,2194.286783,2356.373926,2688.812271,2524.532388,1322.221817,976.913039,913.552435,calls/second,milliseconds
1441832632,56617,2693.748959,709.777746,5.135332,556.707969,540.821184,993.398692,1898.381017,2142.861344,2356.373926,2688.812271,2572.086509,1322.221817,976.913039,913.552435,calls/second,milliseconds
1441832633,59797,2693.748959,679.021650,4.668356,545.300775,522.089790,949.691048,1874.851360,2133.784438,2356.373926,2688.812271,2598.526362,1322.221817,976.913039,913.552435,calls/second,milliseconds
1441832634,63379,2693.748959,646.414133,4.668356,534.887189,483.242330,904.917292,1827.202825,2119.196804,2295.900824,2688.812271,2639.466484,1322.221817,976.913039,913.552435,calls/second,milliseconds
1441832635,66377,2693.748959,639.050587,5.056963,532.994935,478.915978,893.038230,1815.323467,2119.196804,2295.900824,2688.812271,2653.815091,1526.970336,1024.946431,930.003626,calls/second,milliseconds
1441832636,68334,2693.748959,623.283052,2.926217,529.599505,462.502232,871.567971,1793.457396,2119.196804,2295.900824,2688.812271,2627.036610,1526.970336,1024.946431,930.003626,calls/second,milliseconds
1441832637,74682,2523.518347,640.653594,2.926217,523.106350,485.484595,938.609432,1773.588115,2083.960873,2261.860274,2523.317201,2764.675671,1526.970336,1024.946431,930.003626,calls/second,milliseconds
1441832638,75171,2523.518347,638.826191,2.926217,522.009299,485.218610,928.444924,1773.588115,2083.960873,2261.860274,2523.317201,2683.533516,1526.970336,1024.946431,930.003626,calls/second,milliseconds
1441832639,81722,2516.582286,620.569434,2.926217,507.428588,477.280012,891.239440,1723.846306,2053.935154,2171.370142,2516.574164,2816.845109,1526.970336,1024.946431,930.003626,calls/second,milliseconds
