t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441832611,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832612,23,1004.673560,793.739816,516.020357,196.202906,926.931031,944.097642,1004.071548,1004.673560,1004.673560,1004.673560,11.419430,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832613,78,1756.836025,1188.012221,516.020357,326.424006,1144.156223,1474.993374,1651.504667,1740.087864,1756.836025,1756.836025,25.875784,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832614,104,2543.536088,1419.431533,516.020357,509.222130,1408.444074,1783.019998,2456.936643,2531.755287,2543.025890,2543.536088,25.907354,0.000000,0.000000,0.000000,calls/second,milliseconds
1441832615,1080,2769.242874,1208.739037,4.624043,778.625415,1237.389618,1774.475369,2557.640322,2698.399958,2722.790780,2769.120458,215.412254,216.000000,216.000000,216.000000,calls/second,milliseconds
1441832616,1137,2769.242874,1214.199137,4.624043,764.060027,1240.552251,1757.420529,2556.735763,2697.338537,2722.790780,2769.120458,189.057942,216.000000,216.000000,216.000000,calls/second,milliseconds
1441832617,2340,2748.641068,1071.839939,5.508648,699.785787,1026.342394,1657.484898,2269.858312,2549.641306,2681.096778,2748.364261,333.647626,216.000000,216.000000,216.000000,calls/second,milliseconds
1441832618,2401,2748.641068,1060.510547,5.508648,694.839869,995.850982,1638.086169,2264.172202,2545.615974,2681.096778,2748.364261,299.648342,216.000000,216.000000,216.000000,calls/second,milliseconds
1441832619,2462,2748.641068,1071.213448,8.391380,689.285320,1019.766948,1639.131531,2219.792867,2545.615974,2681.096778,2748.364261,273.180106,216.000000,216.000000,216.000000,calls/second,milliseconds
1441832620,4076,2748.641068,1110.940836,8.391380,721.979884,1081.022283,1692.229446,2367.211342,2500.175359,2625.616058,2748.364261,407.089252,246.638980,222.333739,218.122986,calls/second,milliseconds
1441832621,4149,2748.641068,1103.301772,8.391380,717.796035,1068.717544,1687.576348,2361.683228,2496.030380,2602.281281,2747.819445,376.760687,246.638980,222.333739,218.122986,calls/second,milliseconds
1441832622,5262,2748.641068,1040.066553,8.391380,682.420118,992.706770,1553.533505,2288.875618,2459.683635,2586.559036,2747.819445,438.048602,246.638980,222.333739,218.122986,calls/second,milliseconds
1441832623,5928,2748.641068,950.240271,8.391380,674.760620,858.022192,1420.108894,2269.858312,2436.899662,2505.782806,2747.819445,455.539912,246.638980,222.333739,218.122986,calls/second,milliseconds
1441832624,6892,2748.641068,877.172992,8.391380,651.141719,746.873878,1300.352979,2197.356235,2424.946134,2503.562299,2747.819445,491.843771,246.638980,222.333739,218.122986,calls/second,milliseconds
1441832625,6969,2748.641068,875.158024,8.391380,648.646905,748.672140,1292.982993,2197.356235,2424.946134,2503.562299,2747.819445,464.196022,273.181118,228.222302,220.120084,calls/second,milliseconds
1441832626,8520,2748.641068,880.088315,8.391380,623.484938,773.064397,1303.183280,2065.093698,2382.577765,2496.577034,2747.819445,532.081664,273.181118,228.222302,220.120084,calls/second,milliseconds
1441832627,9421,2748.641068,827.811313,3.294141,606.749942,686.633718,1221.220327,2022.040899,2372.534677,2488.792815,2747.819445,553.765922,273.181118,228.222302,220.120084,calls/second,milliseconds
1441832628,10687,2748.641068,752.427512,4.766314,604.324018,586.653418,1110.951824,1941.204115,2357.558627,2488.792815,2747.819445,593.312620,273.181118,228.222302,220.120084,calls/second,milliseconds
1441832629,11553,2748.641068,718.273944,4.766314,594.427513,564.726268,1033.485585,1878.258921,2341.666387,2469.331563,2747.819445,607.655291,273.181118,228.222302,220.120084,calls/second,milliseconds
1441832630,11651,2748.641068,717.346433,4.766314,594.650115,560.704660,1033.485585,1878.258921,2341.666387,2469.331563,2747.819445,582.205590,326.209172,239.927450,224.088383,calls/second,milliseconds
1441832631,13229,2748.641068,722.378885,4.766314,582.046834,577.018352,1066.443185,1863.313001,2319.727840,2457.966749,2747.819445,629.597971,326.209172,239.927450,224.088383,calls/second,milliseconds
1441832632,14106,2748.641068,720.809996,4.766314,576.040408,581.701405,1043.697680,1853.165799,2319.727840,2457.966749,2747.819445,640.829728,326.209172,239.927450,224.088383,calls/second,milliseconds
1441832633,14861,2748.641068,710.013295,4.766314,570.342657,573.609363,1016.467437,1848.181869,2319.727840,2457.966749,2747.819445,645.796989,326.209172,239.927450,224.088383,calls/second,milliseconds
1441832634,15792,2748.641068,690.200630,4.766314,564.119769,546.641018,991.690952,1809.595913,2310.283769,2444.113455,2747.819445,657.667209,326.209172,239.927450,224.088383,calls/second,milliseconds
1441832635,16521,2748.641068,675.623743,1.500278,555.762962,531.788367,963.726255,1790.942079,2305.710879,2444.113455,2747.819445,660.526316,377.923711,252.044074,228.237467,calls/second,milliseconds
1441832636,17008,2748.641068,655.286787,1.500278,547.707165,515.285440,926.591753,1771.385585,2300.276401,2444.113455,2747.819445,653.856581,377.923711,252.044074,228.237467,calls/second,milliseconds
1441832637,18513,2748.641068,661.547855,4.766314,537.203653,527.908638,958.994989,1732.388987,2276.302810,2423.798370,2747.819445,685.336445,377.923711,252.044074,228.237467,calls/second,milliseconds
1441832638,18645,2748.641068,660.330091,4.766314,536.711841,526.420413,955.489047,1732.388987,2276.302810,2423.798370,2747.819445,665.608862,377.923711,252.044074,228.237467,calls/second,milliseconds
1441832639,20233,2748.641068,630.308555,5.492554,512.975208,508.856745,889.135518,1687.084129,2066.974863,2408.792637,2747.819445,697.404410,377.923711,252.044074,228.237467,calls/second,milliseconds
1441832640,20899,2748.641068,620.538075,5.492554,506.509922,499.324603,881.074272,1676.064412,2063.724827,2408.792637,2747.819445,696.362573,417.795666,262.367075,231.829494,calls/second,milliseconds
1441832641,20906,2748.641068,619.504642,5.492554,505.117617,498.752264,879.073724,1668.312485,2063.724827,2408.792637,2747.819445,674.126497,417.795666,262.367075,231.829494,calls/second,milliseconds
1441832642,22602,2748.641068,638.043905,5.492554,494.818179,530.419959,914.539532,1558.957096,1947.335113,2358.153837,2741.517368,706.052320,417.795666,262.367075,231.829494,calls/second,milliseconds
1441832643,23506,2748.641068,623.244609,5.492554,486.786252,520.155533,897.240647,1482.643089,1881.036305,2342.934685,2741.517368,712.055807,417.795666,262.367075,231.829494,calls/second,milliseconds
1441832644,24609,2748.641068,614.136163,5.492554,483.703063,504.379430,887.793651,1438.852846,1864.862780,2342.934685,2741.517368,723.548258,417.795666,262.367075,231.829494,calls/second,milliseconds
1441832645,24733,2748.641068,614.628925,5.492554,482.665972,505.844848,886.506519,1438.852846,1864.862780,2342.934685,2741.517368,706.425169,445.700512,270.704618,234.793312,calls/second,milliseconds
