t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441935259,8,246.415359,226.099200,201.326592,15.477045,223.346687,235.929599,246.415359,246.415359,246.415359,246.415359,7.831639,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935260,471,775.946239,381.911805,56.623104,211.154747,360.710143,557.842431,721.420287,754.974719,759.169023,775.946239,233.496887,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935261,1094,775.946239,242.859316,15.007744,204.420922,185.597951,339.738623,645.922815,729.808895,750.780415,775.946239,360.926318,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935262,1974,2701.131775,309.261562,11.927552,537.029872,121.110527,289.406975,2197.815295,2332.033023,2399.141887,2617.245695,491.645075,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935263,2925,2701.131775,254.015861,5.242880,486.779525,104.857599,218.103807,775.946239,2315.255807,2365.587455,2600.468479,583.219518,579.000000,579.000000,579.000000,calls/second,milliseconds
1441935264,4493,2701.131775,216.081859,5.242880,465.699914,81.788927,158.334975,746.586111,2264.924159,2332.033023,2583.691263,746.962315,579.000000,579.000000,579.000000,calls/second,milliseconds
1441935265,6140,2701.131775,180.167766,5.242880,417.343410,68.681727,142.606335,608.174079,2197.815295,2315.255807,2483.027967,875.266955,579.000000,579.000000,579.000000,calls/second,milliseconds
1441935266,7521,2701.131775,177.637700,5.242880,419.238678,63.438847,142.606335,595.591167,2181.038079,2298.478591,2466.250751,938.372979,579.000000,579.000000,579.000000,calls/second,milliseconds
1441935267,8823,2701.131775,163.098913,4.489216,396.713441,55.574527,133.693439,545.259519,2147.483647,2298.478591,2466.250751,978.937728,579.000000,579.000000,579.000000,calls/second,milliseconds
1441935268,10184,2701.131775,172.735510,4.489216,423.085243,50.069503,138.412031,583.008255,2164.260863,2298.478591,2466.250751,1017.800785,649.169022,593.505452,583.862037,calls/second,milliseconds
1441935269,11528,2701.131775,170.601416,4.489216,417.277036,44.564479,140.509183,553.648127,2147.483647,2298.478591,2466.250751,1046.696528,649.169022,593.505452,583.862037,calls/second,milliseconds
1441935270,13549,2701.131775,159.046309,4.489216,398.038328,38.535167,132.644863,476.053503,2130.706431,2298.478591,2449.473535,1127.711040,649.169022,593.505452,583.862037,calls/second,milliseconds
1441935271,14945,2701.131775,155.646516,4.489216,391.668460,35.651583,134.217727,423.624703,2122.317823,2298.478591,2466.250751,1148.325841,649.169022,593.505452,583.862037,calls/second,milliseconds
1441935272,16325,2701.131775,157.532277,4.489216,395.813058,34.078719,137.363455,421.527551,2122.317823,2281.701375,2449.473535,1164.853840,649.169022,593.505452,583.862037,calls/second,milliseconds
1441935273,17732,2701.131775,154.714363,4.489216,392.417925,32.243711,137.363455,396.361727,2122.317823,2298.478591,2449.473535,1181.050704,717.917311,608.637246,588.987442,calls/second,milliseconds
1441935274,19201,2701.131775,153.569944,4.489216,391.528119,31.850495,135.266303,381.681663,2113.929215,2298.478591,2449.473535,1199.043145,717.917311,608.637246,588.987442,calls/second,milliseconds
1441935275,20930,2701.131775,149.298279,4.489216,387.416841,30.539775,128.450559,356.515839,2113.929215,2281.701375,2432.696319,1230.486029,717.917311,608.637246,588.987442,calls/second,milliseconds
1441935276,22407,2701.131775,148.083752,4.489216,387.108876,31.981567,124.256255,352.321535,2080.374783,2264.924159,2432.696319,1243.840727,717.917311,608.637246,588.987442,calls/second,milliseconds
1441935277,23767,2701.131775,152.494422,4.489216,396.159325,32.767999,125.304831,367.001599,2105.540607,2264.924159,2432.696319,1249.954339,717.917311,608.637246,588.987442,calls/second,milliseconds
1441935278,25242,2701.131775,150.162076,4.489216,391.052611,32.767999,124.780543,352.321535,2097.151999,2248.146943,2432.696319,1261.188470,780.529146,623.386705,594.040131,calls/second,milliseconds
1441935279,26884,2701.131775,147.540405,4.489216,386.155760,31.588351,125.304831,343.932927,2088.763391,2231.369727,2432.696319,1279.367007,780.529146,623.386705,594.040131,calls/second,milliseconds
1441935280,28146,2701.131775,149.308779,4.489216,388.987590,31.588351,126.353407,358.612991,2097.151999,2231.369727,2432.696319,1278.532621,780.529146,623.386705,594.040131,calls/second,milliseconds
1441935281,28521,2701.131775,149.809544,4.456448,389.462078,31.850495,126.877695,356.515839,2105.540607,2231.369727,2432.696319,1239.273692,780.529146,623.386705,594.040131,calls/second,milliseconds
1441935282,30512,2701.131775,150.326567,4.456448,391.218595,33.030143,123.731967,381.681663,2105.540607,2214.592511,2432.696319,1270.560770,780.529146,623.386705,594.040131,calls/second,milliseconds
1441935283,32448,2701.131775,147.660461,4.456448,388.528502,33.292287,120.061951,362.807295,2097.151999,2214.592511,2432.696319,1297.173321,832.969684,636.824633,598.706932,calls/second,milliseconds
1441935284,33577,2701.131775,149.480078,4.456448,392.608435,33.816575,120.061951,367.001599,2105.540607,2214.592511,2415.919103,1290.714974,832.969684,636.824633,598.706932,calls/second,milliseconds
1441935285,34591,2701.131775,149.068963,4.456448,392.014933,33.554431,120.061951,362.807295,2105.540607,2214.592511,2415.919103,1280.472631,832.969684,636.824633,598.706932,calls/second,milliseconds
1441935286,36661,2701.131775,147.206366,4.456448,390.513026,33.423359,116.916223,352.321535,2097.151999,2214.592511,2415.919103,1308.652068,832.969684,636.824633,598.706932,calls/second,milliseconds
1441935287,38180,2701.131775,146.488422,4.456448,390.539293,33.554431,114.819071,350.224383,2097.151999,2197.815295,2415.919103,1315.905590,832.969684,636.824633,598.706932,calls/second,milliseconds
1441935288,39287,2701.131775,146.790979,4.456448,391.252340,33.423359,114.294783,348.127231,2088.763391,2197.815295,2415.919103,1308.946280,875.908257,648.942956,602.980013,calls/second,milliseconds
1441935289,41249,2701.131775,146.498037,4.456448,392.931376,34.078719,112.197631,346.030079,2088.763391,2197.815295,2399.141887,1330.000221,875.908257,648.942956,602.980013,calls/second,milliseconds
1441935290,42943,2701.131775,143.205942,4.456448,387.430020,33.030143,110.100479,335.544319,2088.763391,2197.815295,2399.141887,1341.372307,875.908257,648.942956,602.980013,calls/second,milliseconds
1441935291,44097,2701.131775,145.815911,4.456448,392.316283,33.423359,111.149055,350.224383,2088.763391,2197.815295,2415.919103,1335.692401,875.908257,648.942956,602.980013,calls/second,milliseconds
1441935292,45933,2701.131775,141.815021,4.456448,385.505004,33.161215,108.003327,335.544319,2088.763391,2197.815295,2399.141887,1350.404069,875.908257,648.942956,602.980013,calls/second,milliseconds
1441935293,47988,2701.131775,142.486703,4.456448,388.618422,33.816575,106.954751,335.544319,2088.763391,2197.815295,2399.141887,1370.527256,944.933254,666.963320,609.274844,calls/second,milliseconds
1441935294,48947,2701.131775,142.643576,4.456448,388.343328,34.340863,106.954751,337.641471,2088.763391,2197.815295,2399.141887,1359.099490,944.933254,666.963320,609.274844,calls/second,milliseconds
1441935295,50799,2701.131775,141.754807,4.456448,387.215767,34.078719,105.906175,337.641471,2088.763391,2197.815295,2399.141887,1372.416314,944.933254,666.963320,609.274844,calls/second,milliseconds
1441935296,52687,2701.131775,140.825366,4.456448,386.045354,33.161215,105.906175,333.447167,2088.763391,2181.038079,2399.141887,1385.979347,944.933254,666.963320,609.274844,calls/second,milliseconds
1441935297,53524,2701.131775,140.654256,4.456448,385.017310,33.030143,106.430463,335.544319,2080.374783,2181.038079,2399.141887,1371.908244,944.933254,666.963320,609.274844,calls/second,milliseconds
1441935298,55314,2751.463423,142.298185,4.456448,388.374311,33.030143,107.479039,343.932927,2088.763391,2197.815295,2415.919103,1382.358340,986.739371,680.199986,614.031204,calls/second,milliseconds
1441935299,56992,2751.463423,140.517991,4.456448,385.201810,32.767999,106.430463,339.738623,2088.763391,2181.038079,2399.141887,1389.565078,986.739371,680.199986,614.031204,calls/second,milliseconds
1441935300,58020,2751.463423,142.207392,4.456448,389.035408,32.899071,106.954751,341.835775,2088.763391,2197.815295,2399.141887,1380.957223,986.739371,680.199986,614.031204,calls/second,milliseconds
1441935301,60093,2751.463423,140.208200,4.456448,385.903483,32.243711,105.381887,337.641471,2088.763391,2197.815295,2415.919103,1397.046948,986.739371,680.199986,614.031204,calls/second,milliseconds
1441935302,61628,2751.463423,141.145477,4.456448,388.615704,32.374783,104.857599,339.738623,2088.763391,2197.815295,2415.919103,1400.179922,986.739371,680.199986,614.031204,calls/second,milliseconds
1441935303,63015,2751.463423,140.610518,4.456448,387.536295,32.505855,104.333311,335.544319,2088.763391,2197.815295,2415.919103,1399.890878,1030.799746,694.374867,619.149024,calls/second,milliseconds
1441935304,64574,2751.463423,140.216101,4.456448,387.588018,31.981567,103.809023,333.447167,2080.374783,2197.815295,2415.919103,1403.347958,1030.799746,694.374867,619.149024,calls/second,milliseconds
1441935305,65910,2751.463423,139.758218,4.456448,386.564336,32.243711,103.809023,331.350015,2088.763391,2181.038079,2415.919103,1401.916180,1030.799746,694.374867,619.149024,calls/second,milliseconds
1441935306,67631,2751.463423,139.441765,4.456448,386.482719,32.767999,102.760447,329.252863,2088.763391,2181.038079,2399.141887,1408.562075,1030.799746,694.374867,619.149024,calls/second,milliseconds
1441935307,69055,2751.463423,138.788888,4.456448,385.382097,32.767999,102.236159,327.155711,2088.763391,2181.038079,2399.141887,1408.897032,1030.799746,694.374867,619.149024,calls/second,milliseconds
1441935308,69948,2751.463423,140.308908,4.456448,388.165410,33.161215,102.760447,329.252863,2088.763391,2181.038079,2399.141887,1398.561460,1059.455848,705.859316,623.415223,calls/second,milliseconds
1441935309,71917,2751.463423,139.660919,4.456448,387.284105,33.292287,102.236159,329.252863,2088.763391,2181.038079,2399.141887,1409.742010,1059.455848,705.859316,623.415223,calls/second,milliseconds
1441935310,72869,2751.463423,140.794343,4.456448,389.560264,33.423359,102.760447,329.252863,2088.763391,2197.815295,2399.141887,1400.941521,1059.455848,705.859316,623.415223,calls/second,milliseconds
1441935311,74036,2751.463423,141.411398,4.456448,390.778489,33.554431,102.760447,335.544319,2088.763391,2197.815295,2415.919103,1396.531412,1059.455848,705.859316,623.415223,calls/second,milliseconds
1441935312,75552,2751.463423,141.602386,4.456448,391.291945,33.161215,103.284735,333.447167,2088.763391,2197.815295,2415.919103,1398.743449,1059.455848,705.859316,623.415223,calls/second,milliseconds
1441935313,77221,2751.463423,141.328758,4.456448,390.893647,32.899071,103.809023,331.350015,2088.763391,2197.815295,2415.919103,1403.655859,1091.337670,718.294414,628.040058,calls/second,milliseconds
1441935314,78576,2751.463423,142.011456,4.456448,392.218476,33.030143,104.333311,335.544319,2088.763391,2197.815295,2432.696319,1402.804919,1091.337670,718.294414,628.040058,calls/second,milliseconds
1441935315,80623,2751.463423,140.587182,4.456448,389.674115,32.505855,103.809023,329.252863,2088.763391,2197.815295,2415.919103,1414.086038,1091.337670,718.294414,628.040058,calls/second,milliseconds
1441935316,82162,2751.463423,140.596209,4.456448,389.734292,32.899071,103.809023,329.252863,2088.763391,2197.815295,2432.696319,1416.239220,1091.337670,718.294414,628.040058,calls/second,milliseconds
1441935317,83807,2751.463423,140.093261,4.456448,388.948102,33.161215,103.284735,327.155711,2088.763391,2197.815295,2432.696319,1420.115569,1091.337670,718.294414,628.040058,calls/second,milliseconds
1441935318,85460,2751.463423,139.133835,4.456448,387.194403,32.767999,103.284735,325.058559,2088.763391,2197.815295,2432.696319,1423.996624,1135.829941,733.657790,633.689683,calls/second,milliseconds
1441935319,86795,2751.463423,139.661027,4.456448,388.507684,32.767999,103.284735,325.058559,2088.763391,2197.815295,2432.696319,1422.537683,1135.829941,733.657790,633.689683,calls/second,milliseconds
1441935320,88362,2751.463423,139.432937,4.456448,388.537255,32.899071,102.760447,322.961407,2088.763391,2197.815295,2432.696319,1424.867186,1135.829941,733.657790,633.689683,calls/second,milliseconds
1441935321,90142,2751.463423,139.045429,4.456448,388.301657,32.636927,102.236159,320.864255,2088.763391,2197.815295,2432.696319,1430.500910,1135.829941,733.657790,633.689683,calls/second,milliseconds
1441935322,91311,2751.463423,138.680882,4.456448,387.352078,32.374783,102.236159,320.864255,2088.763391,2197.815295,2432.696319,1426.417249,1135.829941,733.657790,633.689683,calls/second,milliseconds
1441935323,92547,2751.463423,140.017140,4.456448,390.438238,32.505855,102.760447,325.058559,2088.763391,2197.815295,2449.473535,1423.488604,1158.199120,744.929303,638.021585,calls/second,milliseconds
