t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441935259,41,153.092095,92.044513,63.700992,23.135470,87.031807,106.430463,132.644863,137.363455,153.092095,153.092095,39.789578,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935260,644,750.780415,223.871195,0.823296,193.932537,181.403647,362.807295,591.396863,658.505727,704.643071,729.808895,318.213119,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935261,1251,750.780415,157.944554,0.602112,172.825104,98.566143,249.561087,545.259519,616.562687,666.894335,729.808895,414.597327,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935262,2079,750.780415,116.104101,0.507904,145.417897,63.963135,167.772159,446.693375,574.619647,620.756991,713.031679,517.297381,0.000000,0.000000,0.000000,calls/second,milliseconds
1441935263,3033,750.780415,99.120666,0.419840,129.282704,56.623103,133.169151,375.390207,549.453823,595.591167,708.837375,604.426866,598.400000,598.400000,598.400000,calls/second,milliseconds
1441935264,4584,750.780415,78.177741,0.419840,112.562615,38.535167,97.517567,306.184191,473.956351,566.231039,704.643071,761.694801,598.400000,598.400000,598.400000,calls/second,milliseconds
1441935265,6261,750.780415,69.440989,0.403456,102.076528,29.491199,98.041855,257.949695,419.430399,541.065215,704.643071,892.110594,598.400000,598.400000,598.400000,calls/second,milliseconds
1441935266,7775,750.780415,65.695471,0.403456,96.589396,19.791871,100.139007,232.783871,373.293055,515.899391,671.088639,969.802887,598.400000,598.400000,598.400000,calls/second,milliseconds
1441935267,9076,750.780415,62.907929,0.395264,93.418904,14.745599,94.896127,228.589567,346.030079,476.053503,666.894335,1006.574673,598.400000,598.400000,598.400000,calls/second,milliseconds
1441935268,10317,750.780415,62.161270,0.370688,92.538927,11.010047,96.993279,228.589567,322.961407,450.887679,666.894335,1029.934408,667.305723,612.644301,603.174503,calls/second,milliseconds
1441935269,11603,750.780415,62.873711,0.370688,94.542529,9.437183,99.090431,236.978175,346.030079,438.304767,666.894335,1053.382340,667.305723,612.644301,603.174503,calls/second,milliseconds
1441935270,13704,750.780415,59.579599,0.370688,90.813879,8.126463,94.371839,231.735295,327.155711,419.430399,645.922815,1140.482370,667.305723,612.644301,603.174503,calls/second,milliseconds
1441935271,15151,750.780415,59.119619,0.370688,89.573356,7.667711,96.468991,231.735295,316.669951,404.750335,645.922815,1163.950039,667.305723,612.644301,603.174503,calls/second,milliseconds
1441935272,16433,750.780415,59.724865,0.370688,90.405813,7.143423,98.041855,238.026751,314.572799,398.458879,633.339903,1172.379057,667.305723,612.644301,603.174503,calls/second,milliseconds
1441935273,17883,750.780415,59.350412,0.370688,89.263076,7.045119,99.614719,233.832447,306.184191,383.778815,633.339903,1190.941387,734.939696,627.529178,608.216183,calls/second,milliseconds
1441935274,19273,750.780415,58.465563,0.370688,87.977574,7.012351,97.517567,229.638143,301.989887,375.390207,629.145599,1203.427795,734.939696,627.529178,608.216183,calls/second,milliseconds
1441935275,21096,750.780415,56.026371,0.370688,85.278941,6.619135,92.798975,222.298111,297.795583,364.904447,620.756991,1239.784243,734.939696,627.529178,608.216183,calls/second,milliseconds
1441935276,22511,750.780415,54.760086,0.370688,83.214218,7.012351,89.128959,218.103807,291.504127,354.418687,616.562687,1249.518427,734.939696,627.529178,608.216183,calls/second,milliseconds
1441935277,23862,750.780415,55.156824,0.370688,83.924541,7.077887,89.653247,223.346687,299.892735,354.418687,616.562687,1254.859053,734.939696,627.529178,608.216183,calls/second,milliseconds
1441935278,25452,750.780415,54.695621,0.370688,83.110350,7.241727,88.604671,222.298111,299.892735,350.224383,616.562687,1271.591425,796.862123,642.105220,613.208878,calls/second,milliseconds
1441935279,27118,750.780415,54.599424,0.370688,82.692132,7.012351,89.653247,220.200959,295.698431,343.932927,612.368383,1290.359456,796.862123,642.105220,613.208878,calls/second,milliseconds
1441935280,28288,750.780415,54.708456,0.370688,83.613093,7.045119,90.177535,220.200959,299.892735,354.418687,612.368383,1284.862837,796.862123,642.105220,613.208878,calls/second,milliseconds
1441935281,28618,750.780415,54.849426,0.370688,83.674795,7.045119,90.177535,221.249535,297.795583,352.321535,595.591167,1243.413951,796.862123,642.105220,613.208878,calls/second,milliseconds
1441935282,30627,813.694975,54.655103,0.370688,87.079818,7.471103,87.031807,219.152383,299.892735,373.293055,721.420287,1275.276196,796.862123,642.105220,613.208878,calls/second,milliseconds
1441935283,32482,813.694975,53.260282,0.370688,85.156140,7.569407,84.410367,214.958079,297.795583,364.904447,717.225983,1298.469469,845.646054,654.747819,617.606601,calls/second,milliseconds
1441935284,33582,813.694975,52.909322,0.370688,84.539433,7.700479,83.361791,213.909503,293.601279,358.612991,717.225983,1290.886339,845.646054,654.747819,617.606601,calls/second,milliseconds
1441935285,34556,813.694975,53.020965,0.370688,84.483069,7.602175,83.886079,217.055231,291.504127,354.418687,717.225983,1279.120179,845.646054,654.747819,617.606601,calls/second,milliseconds
1441935286,36570,813.694975,51.775099,0.370688,82.774554,7.569407,81.788927,211.812351,285.212671,348.127231,717.225983,1305.346123,845.646054,654.747819,617.606601,calls/second,milliseconds
1441935287,38053,813.694975,51.023577,0.370688,82.018672,7.798783,79.691775,210.763775,287.309823,343.932927,717.225983,1311.473539,845.646054,654.747819,617.606601,calls/second,milliseconds
1441935288,39188,813.694975,50.941749,0.370688,81.876710,7.864319,79.167487,213.909503,285.212671,341.835775,717.225983,1305.596404,885.124439,666.064124,621.605446,calls/second,milliseconds
1441935289,41162,813.694975,50.041315,0.370688,80.339738,8.093695,77.070335,209.715199,278.921215,333.447167,713.031679,1327.143701,885.124439,666.064124,621.605446,calls/second,milliseconds
1441935290,42867,813.694975,49.427347,0.370688,79.216848,8.126463,77.070335,205.520895,276.824063,329.252863,713.031679,1338.944422,885.124439,666.064124,621.605446,calls/second,milliseconds
1441935291,44001,813.694975,49.835418,0.370688,80.095477,8.191999,77.594623,208.666623,278.921215,339.738623,713.031679,1332.729633,885.124439,666.064124,621.605446,calls/second,milliseconds
1441935292,45805,813.694975,48.869125,0.370688,78.841250,8.290303,75.497471,204.472319,274.726911,331.350015,713.031679,1346.589916,885.124439,666.064124,621.605446,calls/second,milliseconds
1441935293,47903,813.694975,48.221826,0.370688,77.685471,8.323071,74.973183,200.278015,270.532607,327.155711,708.837375,1368.049856,953.924267,683.907283,627.832547,calls/second,milliseconds
1441935294,48816,813.694975,48.148484,0.370688,77.628943,8.454143,74.448895,202.375167,272.629759,327.155711,708.837375,1355.416737,953.924267,683.907283,627.832547,calls/second,milliseconds
1441935295,50715,813.694975,47.753790,0.370688,77.381147,8.454143,73.400319,201.326591,274.726911,329.252863,708.837375,1370.125207,953.924267,683.907283,627.832547,calls/second,milliseconds
1441935296,52561,813.694975,47.330863,0.370688,76.638200,8.126463,73.400319,197.132287,270.532607,327.155711,704.643071,1382.619066,953.924267,683.907283,627.832547,calls/second,milliseconds
1441935297,53439,813.694975,47.652203,0.370688,77.226838,7.995391,73.924607,199.229439,276.824063,331.350015,704.643071,1369.688017,953.924267,683.907283,627.832547,calls/second,milliseconds
1441935298,55162,813.694975,47.920216,0.370688,78.534972,7.897087,74.448895,199.229439,281.018367,343.932927,704.643071,1378.543798,993.604283,696.572987,632.388588,calls/second,milliseconds
1441935299,56794,813.694975,47.595285,0.370688,77.792236,7.929855,74.448895,196.083711,276.824063,341.835775,704.643071,1384.687300,993.604283,696.572987,632.388588,calls/second,milliseconds
1441935300,57849,813.694975,47.820528,0.370688,78.051365,7.929855,74.448895,199.229439,281.018367,339.738623,704.643071,1376.846049,993.604283,696.572987,632.388588,calls/second,milliseconds
1441935301,59809,813.694975,47.338309,0.370688,77.487188,7.733247,73.400319,197.132287,281.018367,337.641471,700.448767,1390.402744,993.604283,696.572987,632.388588,calls/second,milliseconds
1441935302,61419,813.694975,47.007130,0.370688,76.828084,7.831551,72.876031,195.035135,278.921215,333.447167,700.448767,1395.391482,993.604283,696.572987,632.388588,calls/second,milliseconds
1441935303,62857,813.694975,46.849911,0.370688,76.442773,7.831551,72.351743,196.083711,276.824063,331.350015,696.254463,1396.345405,1037.323655,710.520221,637.419109,calls/second,milliseconds
1441935304,64454,813.694975,46.588764,0.370688,75.926051,7.798783,72.351743,193.986559,274.726911,329.252863,696.254463,1400.704540,1037.323655,710.520221,637.419109,calls/second,milliseconds
1441935305,65813,813.694975,46.525959,0.370688,75.607821,7.929855,71.827455,192.937983,272.629759,327.155711,696.254463,1399.819260,1037.323655,710.520221,637.419109,calls/second,milliseconds
1441935306,67416,813.694975,46.210916,0.370688,75.147343,8.126463,70.778879,192.937983,272.629759,325.058559,692.060159,1404.051714,1037.323655,710.520221,637.419109,calls/second,milliseconds
