t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441997110,0,0.000000,NaN,9223372036854.775000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997111,117,1056.964607,714.919724,3.653632,223.166182,692.060159,926.941183,1019.215871,1052.770303,1052.770303,1056.964607,58.053449,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997112,360,1996.488703,856.398848,2.686976,616.165906,771.751935,1140.850687,1929.379839,1954.545663,1971.322879,1996.488703,119.354397,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997113,895,2667.577343,730.505463,2.686976,649.215012,532.676607,1069.547519,2030.043135,2399.141887,2449.473535,2516.582399,223.036163,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997114,1037,2667.577343,650.209957,1.802240,637.185053,429.916159,1010.827263,2013.265919,2382.364671,2449.473535,2516.582399,206.886400,207.400000,207.400000,207.400000,calls/second,milliseconds
1441997115,1859,4194.303999,564.351346,1.802240,608.208022,331.350015,985.661439,1904.214015,2088.763391,2399.141887,2667.577343,309.372133,207.400000,207.400000,207.400000,calls/second,milliseconds
1441997116,2326,4194.303999,512.725209,1.802240,571.782901,327.155711,738.197503,1870.659583,2046.820351,2399.141887,2667.577343,331.726088,207.400000,207.400000,207.400000,calls/second,milliseconds
1441997117,3178,4194.303999,465.433548,1.712128,523.899155,306.184191,654.311423,1568.669695,1996.488703,2147.483647,2566.914047,396.779998,207.400000,207.400000,207.400000,calls/second,milliseconds
1441997118,3972,4194.303999,415.325105,1.564672,487.971353,264.241151,553.648127,1442.840575,1937.768447,2113.929215,2667.577343,440.748044,207.400000,207.400000,207.400000,calls/second,milliseconds
1441997119,4874,4194.303999,396.027453,1.564672,467.517984,258.998271,541.065215,1325.400063,1920.991231,2088.763391,2566.914047,486.939119,251.759359,216.570037,210.473676,calls/second,milliseconds
1441997120,5571,4194.303999,382.209680,1.302528,451.421159,257.949695,534.773759,1258.291199,1895.825407,2080.374783,2550.136831,505.937741,251.759359,216.570037,210.473676,calls/second,milliseconds
1441997121,6552,4194.303999,361.019943,1.302528,431.850685,248.512511,513.802239,1199.570943,1870.659583,2030.043135,2550.136831,545.487317,251.759359,216.570037,210.473676,calls/second,milliseconds
1441997122,7452,4194.303999,346.759924,1.302528,412.130398,247.463935,488.636415,1149.239295,1744.830463,2004.877311,2550.136831,572.804010,251.759359,216.570037,210.473676,calls/second,milliseconds
1441997123,8289,4194.303999,336.675213,1.302528,396.876783,244.318207,461.373439,1115.684863,1669.332991,1979.711487,2550.136831,591.602436,251.759359,216.570037,210.473676,calls/second,milliseconds
1441997124,9049,4194.303999,333.335226,1.302528,385.989962,248.512511,457.179135,1082.130431,1560.281087,1954.545663,2533.359615,602.840850,298.440679,226.801703,213.936971,calls/second,milliseconds
1441997125,9794,4194.303999,329.147480,1.302528,377.332617,247.463935,457.179135,1056.964607,1493.172223,1937.768447,2516.582399,611.721210,298.440679,226.801703,213.936971,calls/second,milliseconds
1441997126,10698,4194.303999,322.457320,1.302528,369.998931,241.172479,448.790527,1027.604479,1468.006399,1929.379839,2516.582399,628.903742,298.440679,226.801703,213.936971,calls/second,milliseconds
1441997127,11641,4194.303999,314.090822,1.302528,360.348978,238.026751,434.110463,994.050047,1409.286143,1920.991231,2516.582399,646.343180,298.440679,226.801703,213.936971,calls/second,milliseconds
1441997128,12306,4194.303999,310.419632,1.302528,353.466779,238.026751,427.819007,956.301311,1384.120319,1904.214015,2516.582399,647.571871,298.440679,226.801703,213.936971,calls/second,milliseconds
1441997129,13390,4194.303999,306.211889,1.302528,344.786974,236.978175,423.624703,914.358271,1325.400063,1887.436799,2516.582399,669.143049,344.235986,237.452670,217.578308,calls/second,milliseconds
1441997130,14207,4194.303999,298.877172,1.302528,339.140709,231.735295,413.138943,884.998143,1300.234239,1879.048191,2516.582399,676.182616,344.235986,237.452670,217.578308,calls/second,milliseconds
1441997131,14838,4194.303999,304.577659,1.302528,341.815045,235.929599,421.527551,922.746879,1275.068415,1879.048191,2516.582399,674.133485,344.235986,237.452670,217.578308,calls/second,milliseconds
1441997132,15596,4194.303999,303.662792,1.302528,340.192369,235.929599,423.624703,918.552575,1258.291199,1870.659583,2499.805183,677.779279,344.235986,237.452670,217.578308,calls/second,milliseconds
1441997133,16529,4194.303999,298.948049,1.302528,335.087667,233.832447,415.236095,901.775359,1233.125375,1820.327935,2499.805183,688.408950,344.235986,237.452670,217.578308,calls/second,milliseconds
1441997134,17394,4194.303999,295.501577,1.302528,329.673897,230.686719,413.138943,880.803839,1207.959551,1778.384895,2499.805183,695.470704,380.804793,246.777205,220.813877,calls/second,milliseconds
1441997135,18445,4194.303999,292.409041,1.302528,325.601470,227.540991,408.944639,872.415231,1191.182335,1711.276031,2499.805183,709.139452,380.804793,246.777205,220.813877,calls/second,milliseconds
1441997136,19385,4194.303999,288.562481,1.302528,319.785925,223.346687,400.556031,855.638015,1182.793727,1627.389951,2483.027967,717.684919,380.804793,246.777205,220.813877,calls/second,milliseconds
1441997137,20185,4194.303999,286.861235,1.302528,315.412592,222.298111,396.361727,838.860799,1166.016511,1577.058303,2483.027967,720.623924,380.804793,246.777205,220.813877,calls/second,milliseconds
1441997138,21343,4194.303999,282.245827,1.302528,311.014947,219.152383,392.167423,817.889279,1140.850687,1543.503871,2483.027967,735.702752,380.804793,246.777205,220.813877,calls/second,milliseconds
1441997139,22263,4194.303999,279.480136,1.302528,309.912983,217.055231,390.070271,805.306367,1132.462079,1526.726655,2483.027967,741.844508,428.138117,258.777306,224.979995,calls/second,milliseconds
1441997140,22768,4194.303999,279.566322,1.302528,310.356909,217.055231,392.167423,809.500671,1132.462079,1501.560831,2483.027967,734.204817,428.138117,258.777306,224.979995,calls/second,milliseconds
1441997141,23795,4194.303999,280.020223,1.302528,312.811335,214.958079,392.167423,822.083583,1157.627903,1484.783615,2483.027967,743.352963,428.138117,258.777306,224.979995,calls/second,milliseconds
1441997142,24638,4194.303999,278.623436,1.302528,309.749538,213.909503,392.167423,817.889279,1149.239295,1476.395007,2466.250751,746.371608,428.138117,258.777306,224.979995,calls/second,milliseconds
1441997143,25413,4194.303999,279.141226,1.302528,308.039873,213.909503,390.070271,809.500671,1140.850687,1459.617791,2483.027967,747.212875,428.138117,258.777306,224.979995,calls/second,milliseconds
1441997144,26071,4194.303999,279.464933,1.302528,307.728228,213.909503,394.264575,813.694975,1132.462079,1442.840575,2483.027967,744.663794,454.912194,267.111374,227.960707,calls/second,milliseconds
1441997145,26600,4194.303999,279.859181,1.302528,307.607131,214.958079,396.361727,813.694975,1124.073471,1434.451967,2466.250751,738.675848,454.912194,267.111374,227.960707,calls/second,milliseconds
1441997146,27527,4194.303999,280.890968,1.302528,308.753939,214.958079,398.458879,817.889279,1132.462079,1400.897535,2466.250751,743.762518,454.912194,267.111374,227.960707,calls/second,milliseconds
1441997147,28083,4194.303999,282.702187,1.302528,311.296015,216.006655,402.653183,834.666495,1132.462079,1392.508927,2483.027967,738.824078,454.912194,267.111374,227.960707,calls/second,milliseconds
1441997148,28992,4194.303999,281.470060,1.302528,309.046958,216.006655,402.653183,822.083583,1124.073471,1375.731711,2466.250751,743.180730,454.912194,267.111374,227.960707,calls/second,milliseconds
1441997149,29672,4194.303999,280.310579,1.302528,307.603254,214.958079,402.653183,817.889279,1124.073471,1367.343103,2466.250751,741.607224,476.139427,274.603576,230.688896,calls/second,milliseconds
1441997150,30678,4194.303999,279.495623,1.302528,306.600241,213.909503,402.653183,822.083583,1115.684863,1350.565887,2466.250751,748.052985,476.139427,274.603576,230.688896,calls/second,milliseconds
1441997151,31339,4194.303999,279.645448,1.220608,305.966198,213.909503,406.847487,817.889279,1107.296255,1342.177279,2466.250751,745.980999,476.139427,274.603576,230.688896,calls/second,milliseconds
1441997152,32397,4194.303999,279.811811,1.220608,305.489126,211.812351,406.847487,817.889279,1098.907647,1325.400063,2466.250751,753.234601,476.139427,274.603576,230.688896,calls/second,milliseconds
1441997153,33343,4194.303999,278.501480,1.220608,303.594315,211.812351,402.653183,813.694975,1098.907647,1317.011455,2483.027967,757.613251,476.139427,274.603576,230.688896,calls/second,milliseconds
1441997154,33888,4194.303999,278.046414,1.220608,303.029185,210.763775,402.653183,809.500671,1090.519039,1317.011455,2466.250751,752.915538,505.312068,283.965286,234.070112,calls/second,milliseconds
1441997155,34574,4194.303999,279.637906,1.220608,303.024331,212.860927,406.847487,813.694975,1090.519039,1308.622847,2466.250751,751.440062,505.312068,283.965286,234.070112,calls/second,milliseconds
