t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441997110,0,0.000000,NaN,9223372036854.775000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997111,0,0.000000,NaN,9223372036854.775000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997112,0,0.000000,NaN,9223372036854.775000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997113,0,0.000000,NaN,9223372036854.775000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997114,0,0.000000,NaN,9223372036854.775000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997115,56,4664.066047,4284.032146,4060.086272,157.806191,4244.635647,4362.076159,4596.957183,4664.066047,4664.066047,4664.066047,9.313846,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997116,56,4664.066047,4284.032146,4060.086272,157.806191,4244.635647,4362.076159,4596.957183,4664.066047,4664.066047,4664.066047,7.986251,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997117,90,5335.154687,4313.515440,4043.309056,201.087586,4261.412863,4429.185023,4664.066047,4731.174911,4831.838207,5335.154687,11.232845,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997118,90,5335.154687,4313.515440,4043.309056,201.087586,4261.412863,4429.185023,4664.066047,4731.174911,4831.838207,5335.154687,9.986489,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997119,106,5335.154687,4320.133120,3992.977408,210.829665,4278.190079,4429.185023,4664.066047,4831.838207,5033.164799,5335.154687,10.587481,1.695058,0.350405,0.117451,calls/second,milliseconds
1441997120,106,5335.154687,4320.133120,3992.977408,210.829665,4278.190079,4429.185023,4664.066047,4831.838207,5033.164799,5335.154687,9.626371,1.695058,0.350405,0.117451,calls/second,milliseconds
1441997121,113,5335.154687,4300.534956,3992.977408,217.977030,4261.412863,4429.185023,4664.066047,4831.838207,5033.164799,5335.154687,9.407662,1.695058,0.350405,0.117451,calls/second,milliseconds
1441997122,114,5335.154687,4306.814365,3992.977408,227.052630,4261.412863,4429.185023,4664.066047,5033.164799,5033.164799,5335.154687,8.761359,1.695058,0.350405,0.117451,calls/second,milliseconds
1441997123,122,5335.154687,4286.922483,3992.977408,231.976156,4261.412863,4429.185023,4664.066047,5033.164799,5033.164799,5335.154687,8.707247,1.695058,0.350405,0.117451,calls/second,milliseconds
1441997124,128,5335.154687,4303.814656,3992.977408,239.087535,4261.412863,4462.739455,4697.620479,4831.838207,5033.164799,5335.154687,8.527150,1.911334,0.417339,0.141177,calls/second,milliseconds
1441997125,140,5335.154687,4301.019077,3992.977408,244.263630,4261.412863,4462.739455,4697.620479,4831.838207,5033.164799,5335.154687,8.744115,1.911334,0.417339,0.141177,calls/second,milliseconds
1441997126,146,5335.154687,4310.193194,3992.977408,246.808170,4261.412863,4462.739455,4731.174911,4831.838207,5033.164799,5335.154687,8.582800,1.911334,0.417339,0.141177,calls/second,milliseconds
1441997127,160,5335.154687,4298.060595,3992.977408,240.870706,4261.412863,4429.185023,4731.174911,4831.838207,5033.164799,5335.154687,8.883580,1.911334,0.417339,0.141177,calls/second,milliseconds
1441997128,161,5335.154687,4297.989279,3992.977408,240.123190,4261.412863,4429.185023,4731.174911,4831.838207,5033.164799,5335.154687,8.468643,1.911334,0.417339,0.141177,calls/second,milliseconds
1441997129,175,5335.154687,4299.473177,3992.977408,238.634053,4261.412863,4429.185023,4731.174911,4966.055935,5033.164799,5335.154687,8.745240,2.510094,0.565809,0.192472,calls/second,milliseconds
1441997130,175,5335.154687,4299.473177,3992.977408,238.634053,4261.412863,4429.185023,4731.174911,4966.055935,5033.164799,5335.154687,8.329046,2.510094,0.565809,0.192472,calls/second,milliseconds
1441997131,195,5335.154687,4296.472944,3992.977408,242.114079,4261.412863,4429.185023,4731.174911,4966.055935,5033.164799,5335.154687,8.859311,2.510094,0.565809,0.192472,calls/second,milliseconds
