t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441997110,0,0.000000,NaN,9223372036854.775000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997111,84,1065.353215,735.392719,32.243712,200.125320,708.837375,889.192447,1010.827263,1027.604479,1035.993087,1065.353215,41.521608,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997112,347,2038.431743,865.813283,8.060928,637.700985,851.443711,1166.016511,1946.157055,1988.100095,2021.654527,2038.431743,114.768559,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997113,811,3053.453311,795.130187,8.060928,675.401524,608.174079,1140.850687,2080.374783,2399.141887,2432.696319,2667.577343,201.806137,0.000000,0.000000,0.000000,calls/second,milliseconds
1441997114,937,3053.453311,709.074795,4.423680,666.548935,469.762047,1056.964607,2071.986175,2365.587455,2432.696319,2667.577343,186.765440,187.400000,187.400000,187.400000,calls/second,milliseconds
1441997115,1740,4429.185023,688.987280,4.145152,710.443550,383.778815,1140.850687,2088.763391,2466.250751,2617.245695,3456.106495,289.214171,187.400000,187.400000,187.400000,calls/second,milliseconds
1441997116,2224,5804.916735,647.258735,4.145152,767.728962,375.390207,998.244351,2080.374783,2566.914047,3003.121663,5804.916735,316.999486,187.400000,187.400000,187.400000,calls/second,milliseconds
1441997117,3093,6274.678783,628.200479,4.145152,776.154594,369.098751,884.998143,2122.317823,2600.468479,3422.552063,6140.461055,385.848893,187.400000,187.400000,187.400000,calls/second,milliseconds
1441997118,3852,6274.678783,558.426563,4.145152,738.861449,316.669951,675.282943,2055.208959,2583.691263,3271.557119,5972.688895,427.254087,187.400000,187.400000,187.400000,calls/second,milliseconds
1441997119,4715,6274.678783,539.004819,4.145152,714.693268,318.767103,662.700031,2055.208959,2566.914047,3053.453311,5804.916735,470.805754,231.935261,196.606400,190.485865,calls/second,milliseconds
1441997120,5405,6274.678783,523.878409,4.128768,707.481233,312.475647,645.922815,2055.208959,2600.468479,3003.121663,5804.916735,490.731175,231.935261,196.606400,190.485865,calls/second,milliseconds
1441997121,6371,6274.678783,498.601293,4.128768,689.027715,293.601279,608.174079,2038.431743,2566.914047,2936.012799,5804.916735,530.279554,231.935261,196.606400,190.485865,calls/second,milliseconds
1441997122,7238,6274.678783,487.422121,4.128768,694.474429,293.601279,566.231039,2030.043135,2583.691263,3003.121663,5804.916735,556.147738,231.935261,196.606400,190.485865,calls/second,milliseconds
1441997123,8068,6274.678783,480.996614,4.128768,711.423060,285.212671,541.065215,2030.043135,2600.468479,3288.334335,5771.362303,575.739163,231.935261,196.606400,190.485865,calls/second,milliseconds
1441997124,8775,6274.678783,481.196528,4.128768,718.517749,289.406975,532.676607,2030.043135,2600.468479,3456.106495,5804.916735,584.509908,279.002295,206.920107,193.976793,calls/second,milliseconds
1441997125,9548,6442.450943,483.011370,4.128768,740.498305,285.212671,532.676607,2038.431743,2617.245695,4093.640703,5872.025599,596.290211,279.002295,206.920107,193.976793,calls/second,milliseconds
1441997126,10414,6442.450943,481.066752,4.128768,751.641667,276.824063,524.287999,2046.820351,2634.022911,5033.164799,5905.580031,612.145987,279.002295,206.920107,193.976793,calls/second,milliseconds
1441997127,11390,6442.450943,469.615334,4.128768,747.438634,270.532607,501.219327,2046.820351,2634.022911,5033.164799,5872.025599,632.347167,279.002295,206.920107,193.976793,calls/second,milliseconds
1441997128,12071,7851.737087,466.786182,4.128768,746.339480,270.532607,488.636415,2046.820351,2617.245695,5033.164799,5872.025599,634.881071,279.002295,206.920107,193.976793,calls/second,milliseconds
1441997129,13207,7851.737087,464.409898,4.128768,750.478946,268.435455,486.539263,2046.820351,2634.022911,5100.273663,5939.134463,659.940546,327.631098,218.164145,197.817355,calls/second,milliseconds
1441997130,14003,7851.737087,458.358385,4.128768,750.176401,264.241151,473.956351,2055.208959,2634.022911,5100.273663,5905.580031,666.408887,327.631098,218.164145,197.817355,calls/second,milliseconds
1441997131,14575,7851.737087,463.978360,4.128768,755.949894,267.386879,486.539263,2055.208959,2634.022911,5100.273663,5939.134463,662.137130,327.631098,218.164145,197.817355,calls/second,milliseconds
1441997132,15418,7851.737087,468.329937,4.128768,774.121854,266.338303,490.733567,2063.597567,2667.577343,5167.382527,6073.352191,670.000399,327.631098,218.164145,197.817355,calls/second,milliseconds
1441997133,16311,7851.737087,459.579749,4.128768,764.370979,264.241151,480.247807,2046.820351,2650.800127,5133.828095,6073.352191,679.282482,327.631098,218.164145,197.817355,calls/second,milliseconds
1441997134,17181,7851.737087,456.540028,4.128768,765.425902,261.095423,476.053503,2046.820351,2650.800127,5167.382527,6073.352191,686.914476,364.999852,227.698403,201.125837,calls/second,milliseconds
1441997135,18143,7851.737087,452.054657,4.128768,757.746884,257.949695,471.859199,2038.431743,2634.022911,5133.828095,6039.797759,697.478682,364.999852,227.698403,201.125837,calls/second,milliseconds
1441997136,19062,7851.737087,446.813999,4.128768,754.841172,253.755391,463.470591,2030.043135,2634.022911,5167.382527,6006.243327,705.689012,364.999852,227.698403,201.125837,calls/second,milliseconds
1441997137,19820,8053.063679,447.472739,4.128768,760.988382,253.755391,459.276287,2038.431743,2650.800127,5167.382527,6039.797759,707.589473,364.999852,227.698403,201.125837,calls/second,milliseconds
1441997138,20919,8053.063679,442.906403,4.128768,763.563422,250.609663,452.984831,2038.431743,2650.800127,5167.382527,6006.243327,721.047655,364.999852,227.698403,201.125837,calls/second,milliseconds
1441997139,21900,8053.063679,437.999163,4.128768,762.176015,247.463935,448.790527,2030.043135,2650.800127,5167.382527,6006.243327,729.713964,411.198202,239.517993,205.234825,calls/second,milliseconds
1441997140,22358,8053.063679,439.949725,3.997696,764.548880,248.512511,452.984831,2030.043135,2650.800127,5167.382527,6006.243327,720.946518,411.198202,239.517993,205.234825,calls/second,milliseconds
1441997141,23329,8053.063679,446.294824,3.997696,785.725027,246.415359,455.081983,2038.431743,2701.131775,5234.491391,6073.352191,728.760488,411.198202,239.517993,205.234825,calls/second,milliseconds
1441997142,24164,8053.063679,443.107337,3.997696,781.578710,246.415359,452.984831,2038.431743,2701.131775,5234.491391,6073.352191,731.980329,411.198202,239.517993,205.234825,calls/second,milliseconds
1441997143,24943,8053.063679,445.953484,3.997696,791.072624,246.415359,450.887679,2038.431743,2734.686207,5268.045823,6140.461055,733.362098,411.198202,239.517993,205.234825,calls/second,milliseconds
1441997144,25623,8053.063679,447.251827,3.555328,791.766689,247.463935,455.081983,2046.820351,2734.686207,5268.045823,6140.461055,731.830524,438.047431,247.905933,208.236286,calls/second,milliseconds
1441997145,26123,8053.063679,448.278378,3.555328,793.050029,248.512511,457.179135,2046.820351,2734.686207,5268.045823,6140.461055,725.400437,438.047431,247.905933,208.236286,calls/second,milliseconds
1441997146,26995,8053.063679,449.964938,3.555328,793.368578,248.512511,461.373439,2046.820351,2751.463423,5268.045823,6140.461055,729.358668,438.047431,247.905933,208.236286,calls/second,milliseconds
1441997147,27584,8053.063679,451.566981,3.555328,793.214891,249.561087,467.664895,2038.431743,2751.463423,5268.045823,6106.906623,725.666818,438.047431,247.905933,208.236286,calls/second,milliseconds
1441997148,28505,8053.063679,451.136925,3.555328,794.512513,249.561087,465.567743,2038.431743,2768.240639,5268.045823,6140.461055,730.666091,438.047431,247.905933,208.236286,calls/second,milliseconds
1441997149,29207,8053.063679,450.870969,3.555328,799.324967,249.561087,465.567743,2038.431743,2785.017855,5301.600255,6140.461055,729.957820,460.319265,255.652764,211.052699,calls/second,milliseconds
1441997150,30224,8053.063679,449.965378,3.555328,798.937964,247.463935,465.567743,2038.431743,2785.017855,5268.045823,6140.461055,736.955821,460.319265,255.652764,211.052699,calls/second,milliseconds
1441997151,30918,8053.063679,452.204781,3.555328,804.841274,248.512511,469.762047,2046.820351,2801.795071,5301.600255,6207.569919,735.948108,460.319265,255.652764,211.052699,calls/second,milliseconds
1441997152,31841,8053.063679,452.387774,3.555328,805.347311,247.463935,469.762047,2046.820351,2801.795071,5301.600255,6274.678783,740.270265,460.319265,255.652764,211.052699,calls/second,milliseconds
1441997153,32794,8053.063679,450.590304,3.555328,805.053805,246.415359,465.567743,2046.820351,2801.795071,5301.600255,6274.678783,745.116114,460.319265,255.652764,211.052699,calls/second,milliseconds
1441997154,33305,8053.063679,449.731490,3.555328,802.669411,246.415359,465.567743,2038.431743,2785.017855,5301.600255,6274.678783,739.918528,488.725944,264.907878,214.401982,calls/second,milliseconds
