t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1441987723,13,248.512511,184.065418,69.730304,73.002993,226.492415,232.783871,242.221055,248.512511,248.512511,248.512511,12.718659,0.000000,0.000000,0.000000,calls/second,milliseconds
1441987724,467,1166.016511,496.936333,69.730304,276.521204,446.693375,645.922815,1031.798783,1149.239295,1157.627903,1166.016511,231.863904,0.000000,0.000000,0.000000,calls/second,milliseconds
1441987725,1006,1166.016511,441.868728,69.730304,245.112576,406.847487,603.979775,964.689919,1090.519039,1149.239295,1166.016511,333.887624,0.000000,0.000000,0.000000,calls/second,milliseconds
1441987726,1731,1266.679807,400.638189,65.798144,255.682994,325.058559,562.036735,926.941183,1065.353215,1149.239295,1258.291199,431.705773,0.000000,0.000000,0.000000,calls/second,milliseconds
1441987727,2639,1300.234239,358.738203,42.467328,268.043635,258.998271,534.773759,910.163967,1023.410175,1140.850687,1266.679807,526.706110,526.800000,526.800000,526.800000,calls/second,milliseconds
1441987728,3787,1300.234239,317.251859,10.158080,264.286425,210.763775,486.539263,855.638015,998.244351,1082.130431,1258.291199,629.903592,526.800000,526.800000,526.800000,calls/second,milliseconds
1441987729,4863,1300.234239,298.705949,5.046272,263.341129,195.035135,463.470591,834.666495,973.078527,1061.158911,1249.902591,693.559218,526.800000,526.800000,526.800000,calls/second,milliseconds
1441987730,5995,1300.234239,279.425338,5.046272,252.805351,179.306495,427.819007,792.723455,956.301311,1023.410175,1233.125375,748.271175,526.800000,526.800000,526.800000,calls/second,milliseconds
1441987731,7485,1300.234239,260.012919,0.872448,245.390944,158.334975,406.847487,767.557631,918.552575,1010.827263,1233.125375,830.691080,526.800000,526.800000,526.800000,calls/second,milliseconds
1441987732,9005,1300.234239,243.911076,0.872448,236.696362,146.800639,379.584511,742.391807,893.386751,989.855743,1191.182335,899.461783,586.446867,539.130295,530.932953,calls/second,milliseconds
1441987733,10619,1300.234239,228.614436,0.843776,229.671647,128.450559,348.127231,708.837375,864.026623,964.689919,1174.405119,964.382726,586.446867,539.130295,530.932953,calls/second,milliseconds
1441987734,11991,1300.234239,223.696615,0.843776,220.468501,136.314879,331.350015,692.060159,838.860799,956.301311,1174.405119,998.313248,586.446867,539.130295,530.932953,calls/second,milliseconds
