t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440002677,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002678,13,1137.351933,807.212843,626.524306,171.737323,766.180407,953.037765,1137.351933,1137.351933,1137.351933,1137.351933,6.461569,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002679,52,1797.277606,1368.076859,626.524306,382.944200,1443.917732,1722.214652,1793.354909,1797.063383,1797.277606,1797.277606,17.267566,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002680,62,2653.133373,1523.347960,626.524306,508.094887,1573.865627,1778.089589,2558.189748,2639.058738,2653.133373,2653.133373,15.455733,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002681,79,3627.267060,1896.419340,626.524306,855.014625,1727.716832,2583.681559,3576.263549,3606.637541,3627.267060,3627.267060,15.763891,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002682,85,4423.066898,2049.762296,626.524306,997.897988,1758.917490,2918.196439,3998.716110,4290.939765,4423.066898,4423.066898,14.139716,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002683,117,5476.270496,2888.926222,626.524306,1619.681835,2413.736153,4748.791481,5345.266350,5450.020846,5473.723858,5476.270496,16.686830,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002684,165,6282.512208,3773.352391,626.524306,1947.298811,4091.700542,5637.693225,6189.358028,6259.776938,6275.216255,6282.512208,20.595117,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002685,220,7027.978810,4489.032471,626.524306,2096.882304,5329.452016,6291.404579,6891.885988,7006.896160,7014.448605,7027.978810,24.412923,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002686,3685,7612.036498,3509.133720,231.571575,2175.260762,3120.166522,5400.251665,7262.362972,7447.854332,7520.194770,7612.001206,368.058975,67.963024,26.583224,19.414395,calls/second,milliseconds
1440002687,3706,7612.036498,3491.509910,224.556899,2179.737139,3091.987100,5397.340547,7261.093218,7447.735835,7520.175749,7611.999989,336.539058,67.963024,26.583224,19.414395,calls/second,milliseconds
1440002688,3744,7612.036498,3447.250871,224.556899,2171.785137,3026.369091,5339.528373,7231.133102,7440.057824,7520.194770,7612.001206,311.691597,67.963024,26.583224,19.414395,calls/second,milliseconds
1440002689,3773,7612.036498,3437.569332,224.556899,2169.510102,3005.195897,5327.311947,7231.133102,7440.057824,7520.194770,7612.001206,289.969438,67.963024,26.583224,19.414395,calls/second,milliseconds
1440002690,3806,7612.036498,3436.799893,224.556899,2153.150931,3014.132522,5265.535549,7211.504693,7440.057824,7520.194770,7612.001206,271.627460,67.963024,26.583224,19.414395,calls/second,milliseconds
1440002691,3846,7612.036498,3439.013518,224.556899,2144.229086,3026.369091,5248.942298,7211.504693,7440.057824,7520.194770,7612.001206,256.198098,69.309234,27.545462,19.776641,calls/second,milliseconds
1440002692,3898,7612.036498,3471.458195,224.556899,2136.642897,3072.696395,5273.821942,7196.460094,7440.057824,7520.194770,7612.001206,243.445588,69.309234,27.545462,19.776641,calls/second,milliseconds
1440002693,7442,7612.036498,3570.457944,155.148602,1887.256879,3380.371807,5228.757231,6609.947823,7256.448909,7434.330891,7612.001206,437.461992,69.309234,27.545462,19.776641,calls/second,milliseconds
1440002694,7645,7612.036498,3480.866501,125.756277,1936.858058,3336.773228,5184.837716,6596.942497,7256.448909,7434.330891,7612.001206,424.445039,69.309234,27.545462,19.776641,calls/second,milliseconds
1440002695,7675,7612.036498,3469.867012,125.756277,1941.854570,3325.347921,5183.194718,6596.942497,7256.448909,7434.330891,7612.001206,403.700120,69.309234,27.545462,19.776641,calls/second,milliseconds
1440002696,7754,7612.036498,3456.543949,125.756277,1939.389389,3294.621548,5164.206561,6596.942497,7256.448909,7434.330891,7612.001206,387.474089,126.276850,40.012193,23.998367,calls/second,milliseconds
1440002697,9324,7610.819517,3018.946724,87.646401,1928.110174,2594.670926,4649.161956,6270.768923,7070.782561,7367.598792,7609.716210,443.756448,126.276850,40.012193,23.998367,calls/second,milliseconds
1440002698,9379,7610.819517,2996.226101,87.646401,1923.046266,2578.047301,4614.253466,6260.317710,7058.962267,7326.206472,7609.716210,426.095223,126.276850,40.012193,23.998367,calls/second,milliseconds
1440002699,9446,7610.819517,2988.782175,87.646401,1919.704234,2573.145426,4604.434169,6260.317710,7058.962267,7326.206472,7609.716210,410.488541,126.276850,40.012193,23.998367,calls/second,milliseconds
1440002700,9497,7610.819517,2990.080167,87.646401,1915.218736,2575.975193,4595.654300,6260.317710,7058.962267,7326.206472,7609.716210,395.518433,126.276850,40.012193,23.998367,calls/second,milliseconds
1440002701,9553,7610.819517,2988.161184,87.646401,1906.518318,2578.866777,4539.444934,6250.420649,7058.962267,7326.206472,7609.716210,381.943892,144.932339,45.294515,25.857651,calls/second,milliseconds
1440002702,12339,7610.819517,2818.106055,87.646401,1773.994863,2573.099905,3997.526998,6116.932528,6987.627232,7282.294587,7609.716210,474.363371,144.932339,45.294515,25.857651,calls/second,milliseconds
1440002703,12368,7610.819517,2812.280143,87.646401,1776.283864,2551.359287,3997.526998,6116.932528,6987.627232,7282.294587,7609.716210,457.878482,144.932339,45.294515,25.857651,calls/second,milliseconds
1440002704,12391,7610.819517,2809.721472,87.646401,1776.118455,2539.647409,3992.106604,6116.932528,6987.627232,7282.294587,7609.716210,442.351283,144.932339,45.294515,25.857651,calls/second,milliseconds
1440002705,12429,7610.819517,2809.721472,87.646401,1776.118455,2539.647409,3992.106604,6116.932528,6987.627232,7282.294587,7609.716210,428.415377,144.932339,45.294515,25.857651,calls/second,milliseconds
1440002706,12464,7610.819517,2813.387190,87.646401,1776.139392,2551.359287,3992.106604,6116.932528,6987.627232,7282.294587,7609.716210,415.307756,179.926313,54.175394,28.942088,calls/second,milliseconds
