t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440002677,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002678,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002679,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002680,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002681,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002682,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002683,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002684,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002685,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002686,963,8658.946728,5524.259079,1983.262042,1786.058273,5568.134753,7032.347207,8316.585384,8551.495532,8607.556600,8658.946728,97.070544,1.743032,0.360322,0.120775,calls/second,milliseconds
1440002687,1743,8658.946728,3677.095903,239.849978,2326.529091,3282.663042,5386.231572,8047.978857,8366.494670,8547.906607,8658.927891,158.270134,1.743032,0.360322,0.120775,calls/second,milliseconds
1440002688,1743,8658.946728,3677.095903,239.849978,2326.529091,3282.663042,5386.231572,8047.978857,8366.494670,8547.906607,8658.927891,145.099149,1.743032,0.360322,0.120775,calls/second,milliseconds
1440002689,1743,8658.946728,3677.095903,239.849978,2326.529091,3282.663042,5386.231572,8047.978857,8366.494670,8547.906607,8658.927891,133.949740,1.743032,0.360322,0.120775,calls/second,milliseconds
1440002690,1744,8658.946728,3678.693030,239.849978,2326.035859,3291.067551,5386.231572,8047.978857,8366.494670,8547.906607,8658.927891,124.460656,1.743032,0.360322,0.120775,calls/second,milliseconds
1440002691,1745,8658.946728,3682.377166,239.849978,2324.731345,3294.094475,5386.231572,8047.978857,8366.494670,8547.906607,8658.927891,116.236021,27.765134,5.762507,1.932844,calls/second,milliseconds
1440002692,1746,8658.946728,3682.377166,239.849978,2324.731345,3294.094475,5386.231572,8047.978857,8366.494670,8547.906607,8658.927891,109.040396,27.765134,5.762507,1.932844,calls/second,milliseconds
1440002693,2326,8658.946728,4140.744183,260.879819,2253.063440,4214.274207,6030.863520,7934.428564,8318.447878,8492.827437,8658.926592,137.487707,27.765134,5.762507,1.932844,calls/second,milliseconds
1440002694,3654,8658.297166,3591.980223,182.867916,2057.176682,3349.035939,5192.017305,7174.153359,8052.985115,8301.547816,8657.148765,202.860874,27.765134,5.762507,1.932844,calls/second,milliseconds
1440002695,3684,8658.297166,3578.677913,182.867916,2063.152025,3324.009421,5187.694238,7174.153359,8052.985115,8301.547816,8657.148765,193.771425,27.765134,5.762507,1.932844,calls/second,milliseconds
1440002696,3721,8658.297166,3564.723808,182.867916,2055.516857,3265.073191,5173.234613,7155.441895,8052.985115,8301.547816,8657.148765,185.936923,57.127613,12.196037,4.110496,calls/second,milliseconds
1440002697,4612,8618.697124,3152.473454,127.587268,2006.832368,2729.672677,4608.824593,6738.758819,7999.974901,8281.957744,8617.378982,219.494063,57.127613,12.196037,4.110496,calls/second,milliseconds
1440002698,4613,8618.697124,3152.473454,127.587268,2006.832368,2729.672677,4608.824593,6738.758819,7999.974901,8281.957744,8617.378982,209.567268,57.127613,12.196037,4.110496,calls/second,milliseconds
1440002699,4614,8618.697124,3149.972986,127.587268,2006.714505,2728.234892,4608.824593,6738.758819,7999.974901,8281.957744,8617.378982,200.503797,57.127613,12.196037,4.110496,calls/second,milliseconds
1440002700,4615,8618.697124,3149.972986,127.587268,2006.714505,2728.234892,4608.824593,6738.758819,7999.974901,8281.957744,8617.378982,192.195916,57.127613,12.196037,4.110496,calls/second,milliseconds
1440002701,4620,8618.697124,3156.643171,127.587268,2006.187799,2737.939194,4608.824593,6738.758819,7999.974901,8281.957744,8617.378982,184.711251,66.935955,14.966287,5.083842,calls/second,milliseconds
1440002702,6073,8618.697124,3019.039436,127.587268,1843.970963,2741.510554,4211.828667,6501.723299,7735.362645,8169.230164,8616.729869,233.468061,66.935955,14.966287,5.083842,calls/second,milliseconds
1440002703,6073,8618.697124,3019.039436,127.587268,1843.970963,2741.510554,4211.828667,6501.723299,7735.362645,8169.230164,8616.729869,224.826789,66.935955,14.966287,5.083842,calls/second,milliseconds
1440002704,6073,8618.697124,3019.039436,127.587268,1843.970963,2741.510554,4211.828667,6501.723299,7735.362645,8169.230164,8616.729869,216.799480,66.935955,14.966287,5.083842,calls/second,milliseconds
1440002705,6073,8618.697124,3019.039436,127.587268,1843.970963,2741.510554,4211.828667,6501.723299,7735.362645,8169.230164,8616.729869,209.327648,66.935955,14.966287,5.083842,calls/second,milliseconds
1440002706,6074,8618.697124,3019.039436,127.587268,1843.970963,2741.510554,4211.828667,6501.723299,7735.362645,8169.230164,8616.729869,202.386722,84.851127,19.528723,6.667861,calls/second,milliseconds
1440002707,6078,8618.697124,3019.039436,127.587268,1843.970963,2741.510554,4211.828667,6501.723299,7735.362645,8169.230164,8616.729869,195.987477,84.851127,19.528723,6.667861,calls/second,milliseconds
