t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440002677,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002678,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002679,7,1851.975554,1807.123840,1751.429062,29.412001,1809.219822,1813.081815,1851.975554,1851.975554,1851.975554,1851.975554,2.323419,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002680,25,2751.743623,2159.280208,1751.429062,308.828761,2183.901966,2397.804925,2718.882815,2751.743623,2751.743623,2751.743623,6.229490,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002681,37,3656.248826,2521.961506,1751.429062,604.202284,2396.587751,3049.020282,3584.309351,3656.248826,3656.248826,3656.248826,7.381482,7.400000,7.400000,7.400000,calls/second,milliseconds
1440002682,50,4592.597930,2938.369615,1751.429062,887.321270,2821.273905,3738.477278,4352.223279,4589.079584,4592.597930,4592.597930,8.316180,7.400000,7.400000,7.400000,calls/second,milliseconds
1440002683,81,5463.047524,3789.226879,1751.429062,1297.227158,3979.118872,5157.368457,5418.800876,5458.962556,5463.047524,5463.047524,11.550743,7.400000,7.400000,7.400000,calls/second,milliseconds
1440002684,126,6274.105336,4573.992460,1751.429062,1486.279197,5162.196589,5884.471194,6192.475465,6233.983880,6267.334555,6274.105336,15.725028,7.400000,7.400000,7.400000,calls/second,milliseconds
1440002685,194,6983.066726,5278.496291,1751.429062,1539.241719,5916.542297,6432.976441,6869.624808,6911.984275,6946.245753,6983.066726,21.525715,7.400000,7.400000,7.400000,calls/second,milliseconds
1440002686,3500,7609.436145,3339.976506,208.859335,2113.777394,2940.374078,5195.778153,6985.146031,7296.736452,7400.516047,7608.912552,349.497110,58.027877,17.865875,10.908024,calls/second,milliseconds
1440002687,3524,7609.436145,3323.870151,208.859335,2120.437063,2912.585043,5190.175999,6985.146031,7296.736452,7400.516047,7608.912552,319.969125,58.027877,17.865875,10.908024,calls/second,milliseconds
1440002688,3552,7609.436145,3311.456817,208.859335,2122.399354,2899.517263,5190.175999,6985.146031,7296.736452,7400.516047,7608.912552,295.677303,58.027877,17.865875,10.908024,calls/second,milliseconds
1440002689,3571,7609.436145,3309.581235,208.859335,2117.006937,2894.846524,5185.624132,6985.146031,7296.736452,7400.516047,7608.912552,274.418347,58.027877,17.865875,10.908024,calls/second,milliseconds
1440002690,3600,7609.436145,3308.849544,208.859335,2106.907959,2903.374052,5154.767123,6985.146031,7296.736452,7400.516047,7608.912552,256.901381,58.027877,17.865875,10.908024,calls/second,milliseconds
1440002691,3631,7609.436145,3313.282920,208.859335,2098.085740,2912.585043,5125.517974,6972.630350,7275.274521,7400.516047,7608.912552,241.853003,59.624759,18.859805,11.279724,calls/second,milliseconds
1440002692,3687,7609.436145,3341.927320,208.859335,2091.900939,2993.664125,5194.575100,6957.164786,7275.274521,7400.516047,7608.912552,230.250545,59.624759,18.859805,11.279724,calls/second,milliseconds
1440002693,7335,7609.436145,3439.899499,150.163922,1913.074736,3186.124519,5165.506064,6350.222145,6957.010065,7279.907029,7608.912552,431.136255,59.624759,18.859805,11.279724,calls/second,milliseconds
1440002694,7547,7609.436145,3338.221316,100.436617,1954.371766,3124.884321,5093.617973,6328.035488,6957.010065,7279.907029,7608.912552,418.976505,59.624759,18.859805,11.279724,calls/second,milliseconds
1440002695,7596,7609.436145,3325.170614,100.436617,1955.402130,3110.701417,5090.979346,6328.035488,6957.010065,7279.907029,7608.912552,399.525544,59.624759,18.859805,11.279724,calls/second,milliseconds
1440002696,7695,7609.436145,3306.190307,100.436617,1947.813601,3078.647633,5058.856197,6328.035488,6957.010065,7279.907029,7608.912552,384.506513,119.861318,31.985788,15.721376,calls/second,milliseconds
1440002697,9238,7609.436145,2919.981658,93.133268,1923.194491,2373.553076,4497.824034,6243.387011,6914.939767,7233.203327,7607.809290,439.645280,119.861318,31.985788,15.721376,calls/second,milliseconds
1440002698,9279,7609.436145,2905.491288,93.133268,1924.067367,2363.319356,4481.176933,6243.387011,6914.939767,7233.203327,7607.809290,421.531023,119.861318,31.985788,15.721376,calls/second,milliseconds
1440002699,9339,7609.436145,2896.850762,93.133268,1920.305174,2358.354656,4473.298784,6243.387011,6914.939767,7233.203327,7607.809290,405.822769,119.861318,31.985788,15.721376,calls/second,milliseconds
1440002700,9384,7609.436145,2895.000102,93.133268,1917.429867,2361.676670,4470.061205,6243.387011,6914.939767,7233.203327,7607.809290,390.795841,119.861318,31.985788,15.721376,calls/second,milliseconds
1440002701,9426,7609.436145,2887.420333,93.133268,1910.323270,2361.676670,4419.015960,6238.031516,6914.939767,7233.203327,7607.809290,376.851320,137.942369,37.175986,17.551170,calls/second,milliseconds
1440002702,12151,7553.337702,2754.688899,93.133268,1798.135199,2356.218960,3867.723739,6184.402023,6854.428919,7181.936606,7551.572269,467.119327,137.942369,37.175986,17.551170,calls/second,milliseconds
1440002703,12177,7553.337702,2751.260150,93.133268,1799.119525,2349.831281,3867.723739,6184.402023,6854.428919,7181.936606,7551.572269,450.793891,137.942369,37.175986,17.551170,calls/second,milliseconds
1440002704,12196,7553.337702,2750.978961,93.133268,1799.181196,2348.061412,3867.723739,6184.402023,6854.428919,7181.936606,7551.572269,435.378148,137.942369,37.175986,17.551170,calls/second,milliseconds
1440002705,12228,7553.337702,2743.615999,93.133268,1786.875735,2361.676670,3845.014339,6178.647572,6854.428919,7181.936606,7551.572269,421.475945,137.942369,37.175986,17.551170,calls/second,milliseconds
1440002706,12262,7553.337702,2743.601683,93.133268,1785.875654,2361.676670,3845.014339,6178.647572,6854.428919,7181.936606,7551.572269,408.564048,172.263914,45.936513,20.596308,calls/second,milliseconds
