t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440002677,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002678,13,1137.351933,807.212843,626.524306,171.737323,766.180407,953.037765,1137.351933,1137.351933,1137.351933,1137.351933,6.450248,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002679,52,1797.277606,1368.076859,626.524306,382.944200,1443.917732,1722.214652,1793.354909,1797.063383,1797.277606,1797.277606,17.255023,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002680,62,2653.133373,1523.347960,626.524306,508.094887,1573.865627,1778.089589,2558.189748,2639.058738,2653.133373,2653.133373,15.446064,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002681,79,3627.267060,1896.419340,626.524306,855.014625,1727.716832,2583.681559,3576.263549,3606.637541,3627.267060,3627.267060,15.757871,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002682,85,4423.066898,2049.762296,626.524306,997.897988,1758.917490,2918.196439,3998.716110,4290.939765,4423.066898,4423.066898,14.135912,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002683,117,5476.270496,2888.926222,626.524306,1619.681835,2413.736153,4748.791481,5345.266350,5450.020846,5473.723858,5476.270496,16.682866,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002684,165,6282.512208,3773.352391,626.524306,1947.298811,4091.700542,5637.693225,6189.358028,6259.776938,6275.216255,6282.512208,20.590267,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002685,220,7027.978810,4489.032471,626.524306,2096.882304,5329.452016,6291.404579,6891.885988,7006.896160,7014.448605,7027.978810,24.408828,15.800000,15.800000,15.800000,calls/second,milliseconds
1440002686,5968,8675.342659,4132.788392,237.625501,2218.646187,4044.367878,6112.970631,7584.832337,8118.209125,8368.957152,8674.991977,596.470643,71.305167,27.274117,19.645974,calls/second,milliseconds
1440002687,7206,8675.342659,3678.004126,237.625501,2269.244189,3352.489513,5648.403310,7498.355009,8077.407283,8340.307499,8674.991977,654.232599,71.305167,27.274117,19.645974,calls/second,milliseconds
1440002688,7244,8675.342659,3672.353434,237.625501,2269.081270,3350.089018,5642.064462,7498.355009,8077.407283,8340.307499,8674.991977,602.967832,71.305167,27.274117,19.645974,calls/second,milliseconds
1440002689,7273,8675.342659,3660.649686,237.625501,2269.039424,3316.533187,5637.598339,7498.355009,8077.407283,8340.307499,8674.991977,558.870128,71.305167,27.274117,19.645974,calls/second,milliseconds
1440002690,7307,8675.342659,3656.010603,237.625501,2259.021848,3320.731843,5610.996190,7456.847622,8077.407283,8340.307499,8674.991977,521.401271,71.305167,27.274117,19.645974,calls/second,milliseconds
1440002691,7348,8675.342659,3665.238303,237.625501,2255.867550,3350.089018,5610.996190,7456.847622,8077.407283,8340.307499,8674.991977,489.408433,125.042903,39.110636,23.655681,calls/second,milliseconds
1440002692,7401,8675.342659,3675.641507,237.625501,2249.198321,3355.904760,5574.645006,7442.645826,8057.977123,8331.732339,8674.991977,462.163141,125.042903,39.110636,23.655681,calls/second,milliseconds
1440002693,12225,8595.073620,3944.311375,182.274754,2032.275932,3937.251761,5724.787437,7087.013533,7598.218145,8050.984165,8588.488265,720.054961,125.042903,39.110636,23.655681,calls/second,milliseconds
1440002694,14983,8595.073620,3676.418724,182.274754,1956.492417,3531.721084,5236.605408,6811.197699,7545.265492,7807.503990,8588.913126,831.757378,125.042903,39.110636,23.655681,calls/second,milliseconds
1440002695,15068,8595.073620,3658.296116,182.274754,1962.468062,3487.585146,5227.381611,6811.197699,7545.265492,7807.503990,8588.913126,792.501794,125.042903,39.110636,23.655681,calls/second,milliseconds
1440002696,15217,8595.073620,3643.303872,182.274754,1956.755835,3457.082962,5219.214502,6811.197699,7545.265492,7807.503990,8588.913126,760.344496,240.511329,64.400789,32.218231,calls/second,milliseconds
1440002697,18542,8595.073620,3256.791494,91.419351,1966.633352,2830.512017,4840.278453,6683.869684,7401.018028,7675.122477,8588.913126,882.404339,240.511329,64.400789,32.218231,calls/second,milliseconds
1440002698,18598,8595.073620,3241.459997,91.419351,1964.532292,2817.458058,4801.622099,6675.742366,7401.018028,7675.122477,8588.913126,844.852938,240.511329,64.400789,32.218231,calls/second,milliseconds
1440002699,18667,8595.073620,3235.609003,91.419351,1966.098678,2794.267447,4801.622099,6675.742366,7401.018028,7675.122477,8588.913126,811.145515,240.511329,64.400789,32.218231,calls/second,milliseconds
1440002700,18718,8595.073620,3230.704843,91.419351,1959.457507,2794.267447,4798.276466,6668.109744,7334.188058,7621.241002,8586.962236,779.490313,240.511329,64.400789,32.218231,calls/second,milliseconds
1440002701,18779,8595.073620,3238.160151,91.419351,1957.023691,2821.516092,4798.276466,6668.109744,7334.188058,7621.241002,8586.962236,750.764329,278.593269,75.184000,36.010918,calls/second,milliseconds
1440002702,24482,8595.073620,3028.067366,91.419351,1857.194055,2712.738499,4355.581541,6475.694528,7050.961147,7591.797817,8586.962236,941.132145,278.593269,75.184000,36.010918,calls/second,milliseconds
1440002703,24511,8595.073620,3028.067366,91.419351,1857.194055,2712.738499,4355.581541,6475.694528,7050.961147,7591.797817,8586.962236,907.377044,278.593269,75.184000,36.010918,calls/second,milliseconds
1440002704,24534,8595.073620,3024.011441,91.419351,1855.015939,2707.561522,4349.384511,6475.694528,7050.961147,7591.797817,8586.962236,875.807739,278.593269,75.184000,36.010918,calls/second,milliseconds
