t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440002677,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002678,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002679,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002680,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002681,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002682,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002683,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002684,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002685,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440002686,1153,8676.573403,4974.372586,1266.252431,1969.323204,4931.060514,6556.576242,8278.352307,8424.141617,8549.866781,8676.532788,115.913344,1.631094,0.337182,0.113019,calls/second,milliseconds
1440002687,1757,8675.342659,3836.362861,96.804592,2298.862105,3476.655108,5685.354482,8136.835799,8368.432424,8462.474509,8674.991977,159.515514,1.631094,0.337182,0.113019,calls/second,milliseconds
1440002688,1757,8675.342659,3836.362861,96.804592,2298.862105,3476.655108,5685.354482,8136.835799,8368.432424,8462.474509,8674.991977,146.244896,1.631094,0.337182,0.113019,calls/second,milliseconds
1440002689,1757,8675.342659,3836.362861,96.804592,2298.862105,3476.655108,5685.354482,8136.835799,8368.432424,8462.474509,8674.991977,135.010273,1.631094,0.337182,0.113019,calls/second,milliseconds
1440002690,1757,8675.342659,3836.362861,96.804592,2298.862105,3476.655108,5685.354482,8136.835799,8368.432424,8462.474509,8674.991977,125.371318,1.631094,0.337182,0.113019,calls/second,milliseconds
1440002691,1757,8675.342659,3836.362861,96.804592,2298.862105,3476.655108,5685.354482,8136.835799,8368.432424,8462.474509,8674.991977,117.023112,27.965978,5.802558,1.946183,calls/second,milliseconds
1440002692,1757,8675.342659,3836.362861,96.804592,2298.862105,3476.655108,5685.354482,8136.835799,8368.432424,8462.474509,8674.991977,109.717187,27.965978,5.802558,1.946183,calls/second,milliseconds
1440002693,2396,8675.342659,4381.881524,96.804592,2171.367526,4791.312043,6128.899371,7767.879910,8314.224002,8438.927316,8674.943607,141.060063,27.965978,5.802558,1.946183,calls/second,milliseconds
1440002694,3684,8675.342659,3843.186512,96.804592,2033.320926,3642.963622,5527.071820,7207.349670,8242.143300,8371.753484,8674.991977,204.511371,27.965978,5.802558,1.946183,calls/second,milliseconds
1440002695,3709,8675.342659,3817.728304,96.804592,2040.804545,3616.178824,5493.503555,7202.607709,8242.143300,8371.753484,8674.991977,195.075021,27.965978,5.802558,1.946183,calls/second,milliseconds
1440002696,3738,8675.342659,3811.892048,96.804592,2035.676268,3582.021624,5485.370106,7202.607709,8242.143300,8371.753484,8674.991977,186.776128,57.104513,12.192452,4.109357,calls/second,milliseconds
1440002697,4606,8675.342659,3389.103231,96.804592,2047.820285,2860.191153,4978.603375,6969.890285,8149.868722,8314.263136,8674.991977,219.197655,57.104513,12.192452,4.109357,calls/second,milliseconds
1440002698,4606,8675.342659,3389.103231,96.804592,2047.820285,2860.191153,4978.603375,6969.890285,8149.868722,8314.263136,8674.991977,209.238029,57.104513,12.192452,4.109357,calls/second,milliseconds
1440002699,4606,8675.342659,3389.103231,96.804592,2047.820285,2860.191153,4978.603375,6969.890285,8149.868722,8314.263136,8674.991977,200.147288,57.104513,12.192452,4.109357,calls/second,milliseconds
1440002700,4606,8675.342659,3389.103231,96.804592,2047.820285,2860.191153,4978.603375,6969.890285,8149.868722,8314.263136,8674.991977,191.812361,57.104513,12.192452,4.109357,calls/second,milliseconds
1440002701,4606,8675.342659,3389.103231,96.804592,2047.820285,2860.191153,4978.603375,6969.890285,8149.868722,8314.263136,8674.991977,184.143619,66.722809,14.923092,5.069413,calls/second,milliseconds
1440002702,6070,8663.250184,3225.215931,96.804592,1923.646746,2877.704972,4587.096800,6614.281037,7984.161515,8284.433755,8658.728016,233.341937,66.722809,14.923092,5.069413,calls/second,milliseconds
1440002703,6070,8663.250184,3225.215931,96.804592,1923.646746,2877.704972,4587.096800,6614.281037,7984.161515,8284.433755,8658.728016,224.706705,66.722809,14.923092,5.069413,calls/second,milliseconds
1440002704,6070,8663.250184,3225.215931,96.804592,1923.646746,2877.704972,4587.096800,6614.281037,7984.161515,8284.433755,8658.728016,216.686110,66.722809,14.923092,5.069413,calls/second,milliseconds
1440002705,6070,8663.250184,3225.215931,96.804592,1923.646746,2877.704972,4587.096800,6614.281037,7984.161515,8284.433755,8658.728016,209.217977,66.722809,14.923092,5.069413,calls/second,milliseconds
1440002706,6070,8663.250184,3225.215931,96.804592,1923.646746,2877.704972,4587.096800,6614.281037,7984.161515,8284.433755,8658.728016,202.245994,84.798943,19.515994,6.663484,calls/second,milliseconds
1440002707,6071,8663.250184,3225.215931,96.804592,1923.646746,2877.704972,4587.096800,6614.281037,7984.161515,8284.433755,8658.728016,195.753241,84.798943,19.515994,6.663484,calls/second,milliseconds
