t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440003296,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003297,29,1057.153622,760.462179,607.805513,111.333796,761.547744,803.301970,1038.996265,1057.153622,1057.153622,1057.153622,14.421794,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003298,73,1888.019538,1212.564836,607.805513,411.616628,1315.572564,1486.186924,1864.294098,1886.806671,1888.019538,1888.019538,24.248104,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003299,129,2800.644122,1713.242324,607.805513,670.492771,1711.182525,2320.248880,2613.687894,2792.101823,2798.493360,2800.644122,32.164043,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003300,193,3534.856313,2228.164671,607.805513,921.910194,2317.533885,3163.634828,3457.200088,3502.293315,3512.614746,3534.856313,38.518553,38.600000,38.600000,38.600000,calls/second,milliseconds
1440003301,2349,4072.378651,1976.807941,17.312398,1142.935463,1861.109953,2917.787502,3825.007819,3994.623386,4033.535194,4072.152364,390.738864,38.600000,38.600000,38.600000,calls/second,milliseconds
1440003302,2411,4072.378651,1940.608384,17.312398,1146.857875,1818.364462,2905.695541,3813.618524,3994.623386,4033.535194,4072.152364,343.888154,38.600000,38.600000,38.600000,calls/second,milliseconds
1440003303,2445,4072.378651,1942.307116,17.312398,1144.697459,1820.817593,2905.695541,3813.618524,3994.623386,4033.535194,4072.152364,305.210420,38.600000,38.600000,38.600000,calls/second,milliseconds
1440003304,2510,4072.378651,1958.383370,17.312398,1131.528961,1866.108844,2896.677992,3807.179627,3994.623386,4033.535194,4072.152364,278.554168,38.600000,38.600000,38.600000,calls/second,milliseconds
1440003305,2567,4072.378651,1977.484983,17.312398,1132.588050,1878.637972,2913.790107,3804.566304,3994.623386,4033.535194,4072.152364,256.420340,73.476626,45.809752,41.016614,calls/second,milliseconds
1440003306,5980,4251.178673,2123.048334,16.979700,1200.444682,2085.142456,3147.700497,3999.527625,4148.296712,4180.919451,4250.375537,543.093291,73.476626,45.809752,41.016614,calls/second,milliseconds
1440003307,6060,4223.484315,2093.754349,16.979700,1195.882206,2017.685974,3103.319627,3987.206087,4145.831968,4180.512463,4223.472270,504.546923,73.476626,45.809752,41.016614,calls/second,milliseconds
