t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440003296,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003297,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003298,18,1838.507482,1510.877878,1182.853756,188.810677,1447.946594,1695.361971,1838.507482,1838.507482,1838.507482,1838.507482,5.977422,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003299,43,2790.639501,1943.961502,1182.853756,438.923272,1976.155045,2293.942644,2729.347343,2790.639501,2790.639501,2790.639501,10.717657,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003300,81,3497.617519,2566.126214,1182.853756,747.426502,2592.121516,3330.815992,3467.158805,3492.938786,3497.617519,3497.617519,16.163258,16.200000,16.200000,16.200000,calls/second,milliseconds
1440003301,1081,4060.411317,2011.843999,16.889723,1145.822107,1951.076578,2975.236602,3793.721628,3975.074945,4011.385342,4059.679436,179.764137,16.200000,16.200000,16.200000,calls/second,milliseconds
1440003302,1105,4060.411317,1977.649255,16.889723,1149.326119,1914.939189,2961.839651,3789.448974,3966.918067,4006.601363,4059.679436,157.584055,16.200000,16.200000,16.200000,calls/second,milliseconds
1440003303,1128,4060.411317,1965.316485,16.889723,1136.845688,1893.526710,2924.519973,3787.817891,3960.103719,4006.601363,4059.679436,140.792456,16.200000,16.200000,16.200000,calls/second,milliseconds
1440003304,1162,4060.411317,1984.666408,16.889723,1122.866696,1945.000457,2914.578825,3777.723734,3948.437087,3993.905065,4059.679436,128.946749,16.200000,16.200000,16.200000,calls/second,milliseconds
1440003305,1194,4060.411317,2033.737981,16.889723,1135.184380,1998.170311,2988.376370,3793.721628,3948.437087,3993.905065,4059.679436,119.262321,32.702833,19.611492,17.343487,calls/second,milliseconds
1440003306,2872,4217.991763,2045.527220,13.806616,1190.426650,2008.913982,3075.320545,3904.844270,4050.720009,4163.422168,4217.849664,260.812712,32.702833,19.611492,17.343487,calls/second,milliseconds
1440003307,2911,4217.991763,2020.241814,13.806616,1187.688741,1966.226357,3052.015743,3900.562697,4039.907571,4163.422168,4217.849664,242.355297,32.702833,19.611492,17.343487,calls/second,milliseconds
1440003308,2968,4217.991763,2020.238954,13.806616,1175.343064,1980.640950,3033.766807,3900.562697,4039.907571,4163.422168,4217.849664,228.107929,32.702833,19.611492,17.343487,calls/second,milliseconds
1440003309,4142,4217.991763,1763.438348,6.386643,1109.132115,1656.967120,2504.978533,3779.355635,4018.997264,4142.359978,4217.849664,295.619589,32.702833,19.611492,17.343487,calls/second,milliseconds
1440003310,4176,4217.991763,1757.625309,6.386643,1105.744438,1631.324790,2501.296454,3770.730341,4018.997264,4142.359978,4217.849664,278.190645,77.773570,29.144967,20.551548,calls/second,milliseconds
1440003311,5383,4204.057385,1639.937534,6.386643,1051.461478,1583.172418,2257.710645,3672.624004,3954.612492,4034.527285,4203.867895,336.199590,77.773570,29.144967,20.551548,calls/second,milliseconds
1440003312,5429,4204.057385,1628.890809,6.386643,1052.155860,1571.918846,2236.004867,3672.624004,3954.612492,4034.527285,4203.867895,319.133477,77.773570,29.144967,20.551548,calls/second,milliseconds
1440003313,5487,4204.057385,1625.874985,6.386643,1046.669983,1562.191072,2230.406784,3665.658473,3946.273318,4034.527285,4203.867895,304.639815,77.773570,29.144967,20.551548,calls/second,milliseconds
1440003314,6593,4182.492391,1506.439177,12.321033,1001.030795,1327.867462,2104.376318,3559.665359,3897.241583,4030.605235,4182.361538,346.798251,77.773570,29.144967,20.551548,calls/second,milliseconds
1440003315,6692,4182.492391,1503.875032,12.321033,996.879616,1327.867462,2092.318056,3559.665359,3897.241583,4030.605235,4182.361538,334.414119,111.772798,36.977102,23.224386,calls/second,milliseconds
1440003316,7754,4182.492391,1378.889944,12.321033,974.578478,1161.439887,1963.576976,3449.246140,3815.685916,4030.605235,4182.361538,369.042093,111.772798,36.977102,23.224386,calls/second,milliseconds
1440003317,7805,4182.492391,1381.249233,12.321033,973.035347,1166.558444,1963.576976,3449.246140,3815.685916,4030.605235,4182.361538,354.593072,111.772798,36.977102,23.224386,calls/second,milliseconds
1440003318,7805,4182.492391,1381.249233,12.321033,973.035347,1166.558444,1963.576976,3449.246140,3815.685916,4030.605235,4182.361538,339.182361,111.772798,36.977102,23.224386,calls/second,milliseconds
1440003319,9523,4182.492391,1370.153661,7.366758,960.090099,1196.302840,1996.650529,3373.416457,3776.116306,3972.387604,4182.361538,396.610246,111.772798,36.977102,23.224386,calls/second,milliseconds
1440003320,9574,4182.492391,1368.179149,7.366758,958.734557,1179.732423,1996.093692,3373.416457,3776.116306,3972.387604,4182.361538,382.788156,148.938329,45.896284,26.290171,calls/second,milliseconds
1440003321,9582,4182.492391,1370.364151,7.366758,958.102380,1189.622342,1996.093692,3373.416457,3776.116306,3972.387604,4182.361538,368.381860,148.938329,45.896284,26.290171,calls/second,milliseconds
1440003322,11238,4182.492391,1445.269349,15.842461,981.590060,1272.641409,2119.804814,3274.291714,3683.449351,3886.917303,4182.361538,416.048917,148.938329,45.896284,26.290171,calls/second,milliseconds
1440003323,11263,4182.492391,1445.357536,15.842461,981.227776,1269.003518,2119.804814,3274.291714,3683.449351,3886.917303,4182.361538,402.089573,148.938329,45.896284,26.290171,calls/second,milliseconds
1440003324,11312,4182.492391,1448.633995,15.842461,980.270808,1278.043542,2119.804814,3274.291714,3683.449351,3886.917303,4182.361538,389.921499,148.938329,45.896284,26.290171,calls/second,milliseconds
1440003325,12620,4182.492391,1428.881347,9.825986,946.365550,1278.894499,2089.216514,3242.297669,3648.178053,3805.002360,4182.361538,420.511085,185.738820,55.206876,29.519580,calls/second,milliseconds
1440003326,12685,4182.492391,1419.184056,9.825986,950.526765,1274.109315,2084.183737,3242.297669,3648.178053,3805.002360,4182.361538,409.047519,185.738820,55.206876,29.519580,calls/second,milliseconds
1440003327,12743,4182.492391,1422.000449,9.825986,947.740874,1276.971606,2080.853046,3242.297669,3648.178053,3805.002360,4182.361538,398.082942,185.738820,55.206876,29.519580,calls/second,milliseconds
1440003328,14000,4177.980221,1393.018783,9.825986,920.910249,1273.505143,2040.171980,3159.866591,3580.629194,3797.116294,4177.259044,424.097250,185.738820,55.206876,29.519580,calls/second,milliseconds
1440003329,14090,4177.980221,1389.276996,9.825986,920.982810,1260.727319,2031.982725,3159.866591,3580.629194,3797.116294,4177.259044,414.278767,185.738820,55.206876,29.519580,calls/second,milliseconds
1440003330,15094,4177.980221,1357.487792,9.825986,898.901289,1215.858110,1911.457685,3105.772506,3580.629194,3797.116294,4177.259044,431.121813,210.449988,62.472711,32.097305,calls/second,milliseconds
1440003331,15186,4177.980221,1357.529909,9.825986,898.787714,1215.360833,1911.457685,3105.772506,3580.629194,3797.116294,4177.259044,421.705023,210.449988,62.472711,32.097305,calls/second,milliseconds
1440003332,16271,4177.980221,1326.234388,9.558705,887.972818,1168.215572,1829.464334,3042.390822,3566.270164,3797.116294,4177.259044,439.625887,210.449988,62.472711,32.097305,calls/second,milliseconds
1440003333,16333,4177.980221,1325.943417,9.558705,887.265088,1168.215572,1821.068701,3042.390822,3566.270164,3797.116294,4177.259044,429.692359,210.449988,62.472711,32.097305,calls/second,milliseconds
1440003334,17300,4177.980221,1271.687591,9.558705,881.013548,1112.492813,1747.207187,3027.067335,3509.083138,3760.473630,4173.827980,443.464222,210.449988,62.472711,32.097305,calls/second,milliseconds
1440003335,18164,4177.980221,1257.444839,9.558705,863.638181,1085.631921,1715.577670,2988.327695,3454.026034,3760.473630,4173.827980,453.974417,242.652101,71.575432,35.316702,calls/second,milliseconds
1440003336,18243,4177.980221,1251.610000,9.558705,856.467943,1082.427026,1698.082201,2934.696250,3420.433415,3698.866348,4173.827980,444.832501,242.652101,71.575432,35.316702,calls/second,milliseconds
1440003337,18294,4177.980221,1252.207855,9.558705,855.116526,1085.631921,1695.723591,2934.696250,3420.433415,3698.866348,4173.827980,435.458191,242.652101,71.575432,35.316702,calls/second,milliseconds
1440003338,19392,4177.980221,1229.486874,9.558705,831.067451,1083.699495,1655.069592,2878.203694,3420.433415,3698.866348,4173.827980,450.861028,242.652101,71.575432,35.316702,calls/second,milliseconds
1440003339,19394,4177.980221,1229.486874,9.558705,831.067451,1083.699495,1655.069592,2878.203694,3420.433415,3698.866348,4173.827980,440.661589,242.652101,71.575432,35.316702,calls/second,milliseconds
1440003340,19416,4177.980221,1232.841739,9.558705,832.141708,1085.631921,1659.853547,2878.203694,3420.433415,3698.866348,4173.827980,431.361395,243.287580,74.534448,36.509404,calls/second,milliseconds
1440003341,21369,4177.980221,1227.940670,9.558705,816.062472,1095.594620,1691.851015,2769.345491,3243.650503,3618.810556,4173.827980,464.433068,243.287580,74.534448,36.509404,calls/second,milliseconds
1440003342,21369,4177.980221,1227.940670,9.558705,816.062472,1095.594620,1691.851015,2769.345491,3243.650503,3618.810556,4173.827980,454.553639,243.287580,74.534448,36.509404,calls/second,milliseconds
1440003343,21369,4177.980221,1227.940670,9.558705,816.062472,1095.594620,1691.851015,2769.345491,3243.650503,3618.810556,4173.827980,445.084957,243.287580,74.534448,36.509404,calls/second,milliseconds
1440003344,21400,4177.980221,1227.940670,9.558705,816.062472,1095.594620,1691.851015,2769.345491,3243.650503,3618.810556,4173.827980,436.636361,243.287580,74.534448,36.509404,calls/second,milliseconds
1440003345,23701,4177.980221,1298.713038,9.558705,874.146573,1155.775211,1775.790204,2975.089512,3411.129434,3588.813286,4173.827980,473.915798,292.373307,87.470772,41.056155,calls/second,milliseconds
1440003346,23734,4177.980221,1296.650092,9.558705,874.333331,1150.919982,1771.530621,2975.089512,3411.129434,3588.813286,4173.827980,465.271693,292.373307,87.470772,41.056155,calls/second,milliseconds
1440003347,24687,4177.980221,1283.780585,10.777279,869.323787,1150.761994,1762.099709,2939.678394,3411.129434,3588.813286,4173.827980,474.649200,292.373307,87.470772,41.056155,calls/second,milliseconds
1440003348,24730,4177.980221,1279.689730,10.777279,870.222388,1145.612049,1760.404275,2939.678394,3411.129434,3588.813286,4173.827980,466.507186,292.373307,87.470772,41.056155,calls/second,milliseconds
1440003349,25985,4177.980221,1265.881222,9.429701,873.324297,1121.737962,1760.404275,2939.678394,3411.129434,3588.813286,4173.827980,481.105772,292.373307,87.470772,41.056155,calls/second,milliseconds
1440003350,26070,4177.980221,1263.210063,9.429701,870.677565,1120.422227,1759.349024,2926.333614,3407.208570,3588.813286,4173.827980,473.905362,306.847402,93.849621,43.451405,calls/second,milliseconds
1440003351,27079,4177.980221,1234.183872,9.429701,859.570936,1094.732671,1724.434207,2921.941123,3402.639430,3584.349346,4173.827980,483.459338,306.847402,93.849621,43.451405,calls/second,milliseconds
1440003352,27117,4177.980221,1231.018952,9.429701,856.703509,1088.906894,1715.577670,2921.941123,3402.639430,3584.349346,4173.827980,475.645373,306.847402,93.849621,43.451405,calls/second,milliseconds
1440003353,28037,4177.980221,1206.405759,9.429701,851.327286,1066.362465,1687.676004,2897.819530,3381.789393,3545.410465,4173.800759,483.305240,306.847402,93.849621,43.451405,calls/second,milliseconds
1440003354,28079,4177.980221,1206.113121,9.429701,851.364979,1062.403722,1687.676004,2897.819530,3381.789393,3545.410465,4173.800759,475.826559,306.847402,93.849621,43.451405,calls/second,milliseconds
1440003355,29150,4177.980221,1183.899417,9.429701,841.134445,1039.083271,1672.488179,2875.224697,3373.740229,3545.410465,4173.800759,485.745372,331.629843,102.493230,46.627844,calls/second,milliseconds
1440003356,29242,4177.980221,1183.481612,9.429701,840.766017,1030.320773,1672.488179,2875.224697,3373.740229,3545.410465,4173.800759,479.290280,331.629843,102.493230,46.627844,calls/second,milliseconds
1440003357,30153,4177.980221,1161.050732,10.777279,838.708101,962.952070,1657.464095,2849.784276,3373.740229,3545.410465,4173.800759,486.253358,331.629843,102.493230,46.627844,calls/second,milliseconds
1440003358,30198,4177.980221,1163.691954,10.777279,837.667985,970.615883,1659.735373,2849.784276,3373.740229,3545.410465,4173.800759,479.246947,331.629843,102.493230,46.627844,calls/second,milliseconds
1440003359,31246,4177.980221,1159.561918,10.777279,838.220477,967.913322,1671.834049,2822.713197,3342.789485,3545.410465,4173.800759,488.134925,331.629843,102.493230,46.627844,calls/second,milliseconds
1440003360,31310,4177.980221,1160.050433,10.777279,837.659216,963.991688,1671.834049,2822.713197,3342.789485,3545.410465,4173.800759,481.608509,339.623016,107.932887,48.760648,calls/second,milliseconds
1440003361,32315,4033.860851,1131.928659,10.777279,827.594490,944.226516,1638.311300,2805.840918,3314.647152,3470.032740,4031.255417,489.540004,339.623016,107.932887,48.760648,calls/second,milliseconds
1440003362,33431,4033.860851,1112.880031,10.777279,816.750456,936.423347,1609.575545,2769.345491,3277.347414,3470.032740,4031.255417,498.888618,339.623016,107.932887,48.760648,calls/second,milliseconds
1440003363,33454,4033.860851,1113.305204,10.777279,816.541250,936.423347,1609.575545,2769.345491,3277.347414,3470.032740,4031.255417,491.892159,339.623016,107.932887,48.760648,calls/second,milliseconds
1440003364,33516,4033.860851,1113.305204,10.777279,816.541250,936.423347,1609.575545,2769.345491,3277.347414,3470.032740,4031.255417,485.662593,339.623016,107.932887,48.760648,calls/second,milliseconds
1440003365,34626,4033.860851,1104.048602,10.777279,809.551097,934.910535,1581.502735,2742.852755,3245.531897,3470.032740,4031.255417,494.580084,365.526785,117.117256,52.166951,calls/second,milliseconds
1440003366,34626,4033.860851,1104.048602,10.777279,809.551097,934.910535,1581.502735,2742.852755,3245.531897,3470.032740,4031.255417,487.615663,365.526785,117.117256,52.166951,calls/second,milliseconds
1440003367,34626,4033.860851,1104.048602,10.777279,809.551097,934.910535,1581.502735,2742.852755,3245.531897,3470.032740,4031.255417,480.843686,365.526785,117.117256,52.166951,calls/second,milliseconds
1440003368,34683,4033.860851,1107.131846,10.777279,810.642708,935.196364,1582.895975,2744.060876,3209.935392,3470.032740,4031.255417,475.038387,365.526785,117.117256,52.166951,calls/second,milliseconds
1440003369,36575,4033.860851,1189.203925,11.998188,868.314112,1012.072489,1670.702181,2911.391096,3412.175168,3532.538512,4031.255417,494.184171,365.526785,117.117256,52.166951,calls/second,milliseconds
1440003370,36629,4033.860851,1191.240368,11.998188,866.918096,1013.192336,1670.702181,2911.391096,3412.175168,3532.538512,4031.255417,488.315745,368.331085,121.802814,54.097323,calls/second,milliseconds
1440003371,37703,4033.860851,1172.594341,11.998188,857.341072,990.693385,1662.885866,2903.490307,3412.175168,3532.538512,4031.255417,496.021087,368.331085,121.802814,54.097323,calls/second,milliseconds
1440003372,37790,4033.860851,1172.684062,11.998188,857.202146,990.693385,1662.885866,2903.490307,3412.175168,3532.538512,4031.255417,490.710056,368.331085,121.802814,54.097323,calls/second,milliseconds
1440003373,38788,4033.860851,1156.347074,8.585870,854.370861,977.284847,1640.905254,2903.490307,3412.175168,3532.538512,4031.255417,497.211810,368.331085,121.802814,54.097323,calls/second,milliseconds
1440003374,38822,4033.860851,1157.050372,8.585870,853.740309,980.676334,1640.905254,2903.490307,3412.175168,3532.538512,4031.255417,491.349718,368.331085,121.802814,54.097323,calls/second,milliseconds
1440003375,39923,4033.860851,1165.252715,8.585870,850.481322,989.329790,1659.735373,2890.567971,3412.175168,3532.538512,4031.255417,498.970420,391.539706,130.675291,57.446360,calls/second,milliseconds
1440003376,39973,4033.860851,1164.610006,8.585870,850.916052,989.329790,1659.735373,2890.567971,3412.175168,3532.538512,4031.255417,493.427675,391.539706,130.675291,57.446360,calls/second,milliseconds
1440003377,41077,4033.860851,1147.519402,8.585870,840.992391,986.320515,1638.358112,2860.495251,3412.175168,3532.538512,4031.255417,500.872752,391.539706,130.675291,57.446360,calls/second,milliseconds
1440003378,41168,4033.860851,1138.934361,8.585870,837.143518,974.318528,1630.018621,2849.784276,3411.129434,3532.538512,4031.255417,495.934857,391.539706,130.675291,57.446360,calls/second,milliseconds
1440003379,41968,4033.860851,1150.086173,8.585870,832.540983,995.947265,1631.848666,2849.784276,3411.129434,3532.538512,4031.255417,499.554386,391.539706,130.675291,57.446360,calls/second,milliseconds
1440003380,42028,4033.860851,1148.935419,8.585870,832.737547,993.752318,1631.848666,2849.784276,3411.129434,3532.538512,4031.255417,494.383895,393.911212,135.477242,59.461611,calls/second,milliseconds
1440003381,42060,4033.860851,1147.727462,8.585870,831.406494,993.752318,1630.018621,2849.784276,3411.129434,3532.538512,4031.255417,489.008023,393.911212,135.477242,59.461611,calls/second,milliseconds
1440003382,43349,4033.860851,1157.574117,8.585870,828.036518,1015.948962,1640.905254,2840.492792,3411.129434,3532.538512,4031.255417,498.201732,393.911212,135.477242,59.461611,calls/second,milliseconds
1440003383,43397,4033.860851,1157.478087,8.585870,828.085176,1016.887109,1640.905254,2840.492792,3411.129434,3532.538512,4031.255417,493.086862,393.911212,135.477242,59.461611,calls/second,milliseconds
