t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440003296,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003297,29,1057.153622,760.462179,607.805513,111.333796,761.547744,803.301970,1038.996265,1057.153622,1057.153622,1057.153622,14.395634,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003298,100,1896.422092,1286.352431,607.805513,383.473807,1394.227908,1571.002324,1858.889832,1887.969002,1896.338066,1896.422092,33.186252,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003299,216,2800.644122,1834.313359,607.805513,599.646622,1970.050223,2327.145552,2607.023589,2790.062304,2793.085873,2800.644122,53.816177,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003300,360,3534.856313,2406.609230,607.805513,849.652698,2421.098842,3241.281451,3457.546220,3489.301291,3502.625648,3534.856313,71.810735,72.000000,72.000000,72.000000,calls/second,milliseconds
1440003301,4536,4055.521359,2002.193810,17.552190,1128.161932,1931.750458,2931.378532,3812.995767,3954.516315,4013.153417,4055.461801,754.105363,72.000000,72.000000,72.000000,calls/second,milliseconds
1440003302,4656,4055.521359,1973.011092,17.552190,1133.200252,1888.182537,2907.896571,3811.370111,3951.102738,4010.206995,4055.300119,663.865053,72.000000,72.000000,72.000000,calls/second,milliseconds
1440003303,4739,4055.521359,1962.859593,17.552190,1125.507663,1875.688812,2903.142932,3811.370111,3951.102738,4010.206995,4055.300119,591.407108,72.000000,72.000000,72.000000,calls/second,milliseconds
1440003304,4859,4055.521359,1975.895509,17.552190,1110.512689,1911.572532,2890.874185,3804.748254,3949.986214,4003.312293,4055.300119,539.135129,72.000000,72.000000,72.000000,calls/second,milliseconds
1440003305,4975,4055.521359,2009.272710,17.552190,1119.968773,1942.920671,2919.304060,3805.979134,3949.986214,4003.312293,4055.300119,496.874465,140.042203,86.065793,76.714669,calls/second,milliseconds
