t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1440003296,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003297,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003298,9,1896.422092,1435.800919,1294.083321,175.858144,1393.329413,1396.697365,1896.422092,1896.422092,1896.422092,1896.422092,2.986550,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003299,44,2597.010942,2082.115482,1294.083321,390.703247,2118.876205,2386.423616,2576.125767,2597.010942,2597.010942,2597.010942,10.960939,0.000000,0.000000,0.000000,calls/second,milliseconds
1440003300,86,3497.827512,2656.829276,1294.083321,665.965735,2587.055697,3292.978352,3461.848424,3485.109227,3497.827512,3497.827512,17.153987,17.200000,17.200000,17.200000,calls/second,milliseconds
1440003301,1103,4032.906643,2002.801562,19.199284,1117.034287,1964.090418,2970.151174,3747.819079,3931.524026,3987.057279,4032.836742,183.361864,17.200000,17.200000,17.200000,calls/second,milliseconds
1440003302,1140,4032.906643,1951.613824,19.199284,1123.057142,1913.556105,2925.913172,3735.314307,3931.524026,3987.057279,4032.836742,162.538539,17.200000,17.200000,17.200000,calls/second,milliseconds
1440003303,1166,4032.906643,1948.741128,19.199284,1107.602304,1895.788230,2890.874185,3722.633620,3931.524026,3987.057279,4032.836742,145.507993,17.200000,17.200000,17.200000,calls/second,milliseconds
1440003304,1187,4032.906643,1959.240028,19.199284,1105.189430,1918.345467,2896.078316,3721.909033,3927.093009,3987.057279,4032.836742,131.702607,17.200000,17.200000,17.200000,calls/second,milliseconds
1440003305,1214,4032.906643,2002.855587,19.199284,1115.775018,1942.475076,2976.386007,3754.180104,3927.093009,3987.057279,4032.836742,121.245181,33.862744,20.644549,18.354568,calls/second,milliseconds
1440003306,2895,4245.446989,2079.223858,14.011622,1191.158998,1985.234777,3135.054794,3989.628731,4125.897035,4180.865642,4244.794949,262.853595,33.862744,20.644549,18.354568,calls/second,milliseconds
1440003307,2944,4245.446989,2065.806586,14.011622,1190.159698,1964.968794,3116.722625,3989.628731,4125.897035,4180.865642,4244.794949,245.081415,33.862744,20.644549,18.354568,calls/second,milliseconds
1440003308,3012,4245.446989,2057.954602,14.011622,1180.233896,1955.784794,3088.650735,3986.978571,4125.897035,4180.865642,4244.794949,231.468830,33.862744,20.644549,18.354568,calls/second,milliseconds
1440003309,4155,4245.446989,1793.526673,12.123099,1131.935655,1654.842360,2618.075304,3828.599323,4060.693056,4135.507303,4244.714121,296.522763,33.862744,20.644549,18.354568,calls/second,milliseconds
1440003310,4183,4245.446989,1788.533651,12.123099,1128.906532,1639.535931,2587.791540,3828.599323,4060.693056,4135.507303,4244.714121,278.636853,78.632855,30.117975,21.542623,calls/second,milliseconds
1440003311,5383,4245.446989,1676.362817,12.123099,1065.009360,1592.749763,2314.979925,3736.760419,4006.757318,4070.938941,4244.714121,336.170777,78.632855,30.117975,21.542623,calls/second,milliseconds
1440003312,5422,4245.446989,1668.348883,12.123099,1069.290007,1573.811317,2314.979925,3736.760419,4006.757318,4070.938941,4244.714121,318.691810,78.632855,30.117975,21.542623,calls/second,milliseconds
1440003313,5463,4245.446989,1671.867930,12.123099,1066.789122,1573.811317,2314.979925,3736.760419,4006.757318,4070.938941,4244.714121,303.286714,78.632855,30.117975,21.542623,calls/second,milliseconds
1440003314,6591,4245.446989,1523.168460,6.460110,1032.451134,1339.416617,2120.029100,3597.183897,3976.920584,4052.044439,4244.714121,346.676876,78.632855,30.117975,21.542623,calls/second,milliseconds
1440003315,6679,4245.446989,1519.260594,6.460110,1026.669976,1323.448946,2118.079542,3592.474339,3976.920584,4052.044439,4244.714121,333.751851,112.259547,37.871219,24.188917,calls/second,milliseconds
1440003316,7694,4245.446989,1401.244838,6.460110,1001.382805,1178.149299,2008.067044,3568.682241,3965.206311,4029.136124,4244.714121,366.172336,112.259547,37.871219,24.188917,calls/second,milliseconds
1440003317,7746,4245.446989,1398.077480,6.460110,999.522134,1170.733199,1998.134448,3568.682241,3965.206311,4029.136124,4244.714121,351.890824,112.259547,37.871219,24.188917,calls/second,milliseconds
1440003318,7746,4245.446989,1398.077480,6.460110,999.522134,1170.733199,1998.134448,3568.682241,3965.206311,4029.136124,4244.714121,336.603270,112.259547,37.871219,24.188917,calls/second,milliseconds
1440003319,9422,4245.446989,1382.925628,12.123099,978.833572,1186.607086,2023.657660,3506.847943,3806.765308,4003.131161,4244.714121,392.389760,112.259547,37.871219,24.188917,calls/second,milliseconds
1440003320,9462,4245.446989,1378.747340,12.123099,973.046873,1179.519388,2009.657394,3502.006967,3806.765308,4003.131161,4244.714121,378.297807,147.771057,46.441746,27.137448,calls/second,milliseconds
1440003321,9469,4245.446989,1378.747340,12.123099,973.046873,1179.519388,2009.657394,3502.006967,3806.765308,4003.131161,4244.714121,364.027697,147.771057,46.441746,27.137448,calls/second,milliseconds
1440003322,11137,4245.446989,1435.812296,12.123099,993.941220,1231.910451,2119.536751,3319.619862,3795.691090,3997.131351,4244.714121,412.292936,147.771057,46.441746,27.137448,calls/second,milliseconds
1440003323,11164,4245.446989,1431.530494,12.123099,991.446676,1228.813882,2117.767795,3301.075194,3789.350635,3993.401073,4244.714121,398.543288,147.771057,46.441746,27.137448,calls/second,milliseconds
1440003324,11208,4245.446989,1436.180982,12.123099,990.126427,1236.082248,2117.767795,3301.075194,3789.350635,3993.401073,4244.714121,386.323231,147.771057,46.441746,27.137448,calls/second,milliseconds
1440003325,12648,4220.175678,1428.484732,12.123099,968.741887,1238.996632,2098.021336,3203.644547,3761.465742,3971.074747,4217.998993,421.433972,186.903635,56.206121,30.517287,calls/second,milliseconds
1440003326,12722,4220.175678,1418.977876,12.123099,970.885602,1231.910451,2091.374351,3203.644547,3761.465742,3971.074747,4217.998993,410.231706,186.903635,56.206121,30.517287,calls/second,milliseconds
1440003327,12788,4220.175678,1421.105964,12.123099,970.456546,1237.145128,2091.374351,3203.644547,3761.465742,3971.074747,4217.998993,399.478133,186.903635,56.206121,30.517287,calls/second,milliseconds
1440003328,13990,4220.175678,1393.151404,12.123099,942.298851,1215.309500,2051.039659,3155.373803,3714.715753,3966.743256,4217.998993,423.785047,186.903635,56.206121,30.517287,calls/second,milliseconds
1440003329,14077,4220.175678,1390.228855,12.123099,941.841194,1205.680897,2042.801232,3155.373803,3714.715753,3966.743256,4217.998993,413.888661,186.903635,56.206121,30.517287,calls/second,milliseconds
1440003330,15076,4220.175678,1344.984966,10.324335,922.104185,1168.383674,1967.326219,3103.332612,3652.758614,3966.743256,4217.998993,430.598293,210.786078,63.303378,33.038514,calls/second,milliseconds
1440003331,15154,4220.175678,1344.959683,10.324335,921.915548,1159.761865,1967.326219,3103.332612,3652.758614,3966.743256,4217.998993,420.808779,210.786078,63.303378,33.038514,calls/second,milliseconds
1440003332,16243,4220.175678,1307.227744,10.324335,903.881135,1141.315556,1798.305060,3031.391522,3652.758614,3966.743256,4217.998993,438.861769,210.786078,63.303378,33.038514,calls/second,milliseconds
1440003333,16299,4220.175678,1303.647821,10.324335,902.304775,1136.760540,1790.662163,3031.391522,3652.758614,3966.743256,4217.998993,428.790671,210.786078,63.303378,33.038514,calls/second,milliseconds
1440003334,17282,4145.117571,1274.313855,10.324335,880.633765,1121.305978,1734.130466,2987.407354,3591.460868,3878.879862,4141.793554,442.995073,210.786078,63.303378,33.038514,calls/second,milliseconds
1440003335,18115,4145.117571,1269.823786,10.000519,875.626731,1098.787999,1720.561127,2987.407354,3591.460868,3878.879862,4141.793554,452.740060,242.529558,72.303115,36.222780,calls/second,milliseconds
1440003336,18177,4145.117571,1265.284218,10.000519,871.321055,1094.161600,1705.310837,2970.600208,3591.460868,3878.879862,4141.793554,443.216033,242.529558,72.303115,36.222780,calls/second,milliseconds
1440003337,18224,4145.117571,1265.133146,10.000519,869.130560,1098.787999,1705.310837,2964.917099,3591.460868,3878.879862,4141.793554,433.783411,242.529558,72.303115,36.222780,calls/second,milliseconds
1440003338,19322,4145.117571,1271.439534,10.000519,858.036184,1139.396159,1718.623401,2937.529079,3591.460868,3878.879862,4141.793554,449.225085,242.529558,72.303115,36.222780,calls/second,milliseconds
1440003339,19328,4145.117571,1271.439534,10.000519,858.036184,1139.396159,1718.623401,2937.529079,3591.460868,3878.879862,4141.793554,439.155259,242.529558,72.303115,36.222780,calls/second,milliseconds
1440003340,19360,4145.117571,1273.504496,10.000519,859.330889,1140.978086,1724.988439,2937.529079,3591.460868,3878.879862,4141.793554,430.110801,242.998933,75.213741,37.398274,calls/second,milliseconds
1440003341,21181,4145.117571,1273.489282,10.000519,847.422442,1140.978086,1733.699216,2890.699733,3564.941568,3792.442746,4141.565560,460.340120,242.998933,75.213741,37.398274,calls/second,milliseconds
1440003342,21181,4145.117571,1273.489282,10.000519,847.422442,1140.978086,1733.699216,2890.699733,3564.941568,3792.442746,4141.565560,450.547707,242.998933,75.213741,37.398274,calls/second,milliseconds
1440003343,21181,4145.117571,1273.489282,10.000519,847.422442,1140.978086,1733.699216,2890.699733,3564.941568,3792.442746,4141.565560,441.162737,242.998933,75.213741,37.398274,calls/second,milliseconds
1440003344,21235,4145.117571,1275.246706,10.000519,849.945057,1140.978086,1734.346280,2899.794415,3564.941568,3792.442746,4141.565560,433.263003,242.998933,75.213741,37.398274,calls/second,milliseconds
1440003345,23439,4145.117571,1336.455859,10.000519,887.509482,1169.877445,1843.144428,3014.955888,3535.545806,3792.442746,4141.565560,468.670295,288.861542,87.467778,41.715170,calls/second,milliseconds
1440003346,23471,4145.117571,1336.363461,10.000519,885.745432,1168.924446,1837.158032,3014.955888,3535.545806,3792.442746,4141.565560,460.109724,288.861542,87.467778,41.715170,calls/second,milliseconds
1440003347,24437,4022.634420,1313.952531,9.237956,882.674882,1154.488694,1816.111289,3007.224804,3501.703926,3766.016230,4021.919542,469.836800,288.861542,87.467778,41.715170,calls/second,milliseconds
1440003348,24483,4022.634420,1312.299815,9.237956,883.741156,1153.056699,1816.111289,3007.224804,3501.703926,3766.016230,4021.919542,461.840263,288.861542,87.467778,41.715170,calls/second,milliseconds
1440003349,25736,4022.634420,1302.765195,9.237956,869.894843,1147.938160,1800.983603,2982.402770,3475.490293,3713.637938,4021.834332,476.489585,288.861542,87.467778,41.715170,calls/second,milliseconds
1440003350,25828,4022.634420,1302.020066,9.237956,870.240739,1146.105461,1800.983603,2982.402770,3475.490293,3713.637938,4021.834332,469.499936,303.968227,93.919402,44.131147,calls/second,milliseconds
1440003351,26818,4022.634420,1271.585661,9.237956,863.041591,1116.748974,1771.466780,2958.099789,3425.182732,3655.349687,4021.834332,478.794370,303.968227,93.919402,44.131147,calls/second,milliseconds
1440003352,26870,4022.634420,1272.113249,9.237956,862.515725,1116.748974,1771.466780,2958.099789,3425.182732,3655.349687,4021.834332,471.306114,303.968227,93.919402,44.131147,calls/second,milliseconds
1440003353,27756,4022.634420,1265.372102,9.237956,859.725130,1107.528733,1771.465208,2953.207235,3425.182732,3655.349687,4021.834332,478.455454,303.968227,93.919402,44.131147,calls/second,milliseconds
1440003354,27811,4022.634420,1265.897079,9.237956,859.258215,1107.528733,1771.465208,2953.207235,3425.182732,3655.349687,4021.834332,471.280042,303.968227,93.919402,44.131147,calls/second,milliseconds
1440003355,28899,4022.634420,1246.549355,9.237956,854.610058,1082.948057,1733.699216,2918.449231,3425.182732,3655.349687,4021.834332,481.557323,328.772990,102.518884,47.289415,calls/second,milliseconds
1440003356,28992,4022.634420,1246.549355,9.237956,854.610058,1082.948057,1733.699216,2918.449231,3425.182732,3655.349687,4021.834332,475.186800,328.772990,102.518884,47.289415,calls/second,milliseconds
1440003357,29894,4022.634420,1222.104311,9.237956,848.936793,1062.648467,1705.310837,2891.466766,3419.184392,3641.689999,4021.834332,482.071063,328.772990,102.518884,47.289415,calls/second,milliseconds
1440003358,29956,4022.634420,1221.743929,9.237956,847.795307,1064.495127,1703.460389,2891.466766,3419.184392,3641.689999,4021.834332,475.401114,328.772990,102.518884,47.289415,calls/second,milliseconds
1440003359,31027,4022.634420,1215.306047,9.237956,837.507098,1064.495127,1730.214831,2818.130421,3220.981006,3611.553131,4021.834332,484.708860,328.772990,102.518884,47.289415,calls/second,milliseconds
1440003360,31088,4022.634420,1216.060117,9.237956,835.886660,1065.607241,1721.877792,2818.130421,3220.981006,3611.553131,4021.834332,478.188463,337.442335,108.050676,49.449579,calls/second,milliseconds
1440003361,31984,4022.634420,1186.494438,9.237956,829.990441,1043.261225,1678.293954,2809.857864,3202.309726,3576.101941,4021.834332,484.517533,337.442335,108.050676,49.449579,calls/second,milliseconds
1440003362,33114,4022.634420,1167.892461,9.237956,821.956739,1027.777561,1640.956639,2799.288755,3202.309726,3576.101941,4021.834332,494.152479,337.442335,108.050676,49.449579,calls/second,milliseconds
1440003363,33146,4022.634420,1166.093687,9.237956,821.739676,1024.906683,1640.328275,2799.288755,3202.309726,3576.101941,4021.834332,487.359096,337.442335,108.050676,49.449579,calls/second,milliseconds
1440003364,33222,4022.634420,1169.881239,9.237956,819.664318,1029.818889,1640.956639,2799.288755,3202.309726,3576.101941,4021.834332,481.398102,337.442335,108.050676,49.449579,calls/second,milliseconds
1440003365,34240,4022.634420,1148.612907,9.237956,808.435160,1012.075968,1621.764538,2753.740655,3166.079379,3549.066046,4021.058148,489.062497,360.913910,116.694268,52.671456,calls/second,milliseconds
1440003366,34240,4022.634420,1148.612907,9.237956,808.435160,1012.075968,1621.764538,2753.740655,3166.079379,3549.066046,4021.058148,482.176211,360.913910,116.694268,52.671456,calls/second,milliseconds
1440003367,34240,4022.634420,1148.612907,9.237956,808.435160,1012.075968,1621.764538,2753.740655,3166.079379,3549.066046,4021.058148,475.479757,360.913910,116.694268,52.671456,calls/second,milliseconds
1440003368,34294,4022.634420,1152.851911,9.237956,811.690962,1015.228018,1626.146988,2755.177621,3166.079379,3549.066046,4021.058148,469.706766,360.913910,116.694268,52.671456,calls/second,milliseconds
1440003369,36266,4022.634420,1251.736607,9.487043,877.046006,1083.553652,1795.924545,2998.183080,3437.720872,3516.852036,4021.058148,490.005241,360.913910,116.694268,52.671456,calls/second,milliseconds
1440003370,36326,4022.634420,1251.736607,9.487043,877.046006,1083.553652,1795.924545,2998.183080,3437.720872,3516.852036,4021.058148,484.272710,365.414297,121.661191,54.691000,calls/second,milliseconds
1440003371,37313,4022.634420,1241.273894,9.487043,873.103049,1085.087548,1789.151160,2981.278128,3429.045221,3516.852036,4021.058148,490.886371,365.414297,121.661191,54.691000,calls/second,milliseconds
1440003372,37399,4022.634420,1237.579229,9.487043,871.469469,1081.381576,1774.354655,2967.774192,3429.045221,3516.852036,4021.058148,485.629176,365.414297,121.661191,54.691000,calls/second,milliseconds
1440003373,38443,4022.634420,1222.299892,9.487043,867.809063,1061.859978,1727.298433,2967.774192,3429.045221,3516.852036,4021.058148,492.785945,365.414297,121.661191,54.691000,calls/second,milliseconds
1440003374,38490,4022.634420,1219.458407,9.487043,865.827135,1061.859978,1715.947859,2967.774192,3429.045221,3516.852036,4021.058148,487.143887,365.414297,121.661191,54.691000,calls/second,milliseconds
1440003375,39510,4022.634420,1222.956132,9.487043,860.723243,1060.839161,1727.298433,2902.823606,3429.045221,3516.852036,4021.058148,493.804895,387.113100,130.175687,57.915972,calls/second,milliseconds
1440003376,39562,4022.634420,1222.358581,9.487043,861.158291,1060.839161,1727.298433,2902.823606,3429.045221,3516.852036,4021.058148,488.351100,387.113100,130.175687,57.915972,calls/second,milliseconds
1440003377,40690,4022.634420,1214.858437,8.978255,859.547852,1045.780299,1718.792797,2902.823606,3429.045221,3516.852036,4021.058148,496.150477,387.113100,130.175687,57.915972,calls/second,milliseconds
1440003378,40769,4022.634420,1209.548519,8.978255,859.710899,1041.640278,1707.692081,2902.823606,3429.045221,3516.852036,4021.058148,491.125184,387.113100,130.175687,57.915972,calls/second,milliseconds
1440003379,41548,4022.634420,1192.290665,8.978255,856.866820,1039.756432,1672.244421,2844.878559,3413.329989,3516.852036,4021.058148,494.551855,387.113100,130.175687,57.915972,calls/second,milliseconds
1440003380,41618,4022.634420,1188.525752,8.978255,856.836391,1036.027995,1666.356601,2844.878559,3413.329989,3516.852036,4021.058148,489.557973,389.870520,134.992507,59.930837,calls/second,milliseconds
1440003381,41660,4022.634420,1190.814904,8.978255,856.779131,1038.678240,1670.586031,2844.878559,3413.329989,3516.852036,4021.058148,484.353731,389.870520,134.992507,59.930837,calls/second,milliseconds
1440003382,42819,4022.634420,1182.731523,8.978255,852.842609,1029.818889,1704.151466,2815.944956,3386.131061,3511.545199,4021.058148,492.107513,389.870520,134.992507,59.930837,calls/second,milliseconds
1440003383,42866,4022.634420,1182.172927,8.978255,852.363530,1027.777561,1704.151466,2815.944956,3386.131061,3511.545199,4021.058148,487.050682,389.870520,134.992507,59.930837,calls/second,milliseconds
