INFO  11:37:44 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  11:37:44 New Cassandra host /172.31.28.223:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.28.223; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Running [likelyquery0] with 200 threads for 50000000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,          5923,    5924,    5924,    5924,    33.9,    32.7,    48.0,    57.5,    70.5,   116.9,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,         12079,    5906,    5906,    5906,    33.9,    32.3,    48.5,    55.6,    67.9,    71.4,    2.0,  0.00102,      0,      0,       0,       0,       0,       0
total,         18299,    5758,    5758,    5758,    34.8,    32.1,    54.6,    78.3,    93.0,    98.2,    3.1,  0.00733,      0,      0,       0,       0,       0,       0
total,         24161,    5608,    5608,    5608,    35.6,    33.0,    55.5,    61.6,    77.0,    83.3,    4.2,  0.01100,      0,      0,       0,       0,       0,       0
total,         30349,    5864,    5864,    5864,    34.1,    32.1,    52.6,    59.5,    73.9,   105.0,    5.2,  0.00901,      0,      0,       0,       0,       0,       0
total,         36528,    5925,    5925,    5925,    33.8,    32.1,    47.7,    54.5,    65.6,    77.6,    6.3,  0.00804,      0,      0,       0,       0,       0,       0
total,         42675,    5833,    5833,    5833,    34.3,    32.0,    50.6,    60.3,    69.1,    73.4,    7.3,  0.00689,      0,      0,       0,       0,       0,       0
total,         48889,    5924,    5924,    5924,    33.7,    31.6,    52.7,    63.4,    69.8,    77.4,    8.4,  0.00630,      0,      0,       0,       0,       0,       0
total,         54981,    5845,    5845,    5845,    34.2,    32.3,    48.9,    55.4,    66.6,    79.4,    9.4,  0.00560,      0,      0,       0,       0,       0,       0
total,         61099,    5801,    5801,    5801,    34.5,    31.8,    54.5,    76.2,    89.4,   100.6,   10.5,  0.00509,      0,      0,       0,       0,       0,       0
total,         67283,    5946,    5946,    5946,    33.6,    31.3,    49.1,    69.1,    83.9,   114.4,   11.5,  0.00489,      0,      0,       0,       0,       0,       0
total,         73743,    6148,    6148,    6148,    32.5,    31.1,    44.9,    52.8,    62.0,    68.9,   12.6,  0.00604,      0,      0,       0,       0,       0,       0
total,         79951,    5923,    5923,    5923,    33.8,    30.9,    58.9,    73.8,    80.7,    91.9,   13.6,  0.00561,      0,      0,       0,       0,       0,       0
total,         86210,    6031,    6031,    6031,    33.1,    31.0,    50.6,    63.4,    71.8,    86.7,   14.6,  0.00550,      0,      0,       0,       0,       0,       0
total,         92707,    6091,    6091,    6091,    32.9,    31.0,    47.8,    56.4,    68.8,    86.3,   15.7,  0.00558,      0,      0,       0,       0,       0,       0
total,         99047,    6086,    6086,    6086,    32.8,    30.7,    49.7,    63.4,    74.8,    95.6,   16.8,  0.00555,      0,      0,       0,       0,       0,       0
total,        105516,    6141,    6141,    6141,    32.6,    30.5,    48.2,    63.8,    72.2,   121.1,   17.8,  0.00565,      0,      0,       0,       0,       0,       0
total,        111891,    6073,    6073,    6073,    32.9,    30.5,    56.2,    63.2,    73.3,    89.1,   18.9,  0.00549,      0,      0,       0,       0,       0,       0
total,        118427,    6123,    6123,    6123,    32.6,    30.4,    50.1,    58.3,    71.9,    86.2,   19.9,  0.00544,      0,      0,       0,       0,       0,       0
total,        124535,    5787,    5787,    5787,    33.9,    31.5,    51.5,    68.5,    78.2,    88.1,   21.0,  0.00534,      0,      0,       0,       0,       0,       0
total,        130709,    5998,    5998,    5998,    33.9,    31.9,    51.5,    61.6,    76.2,   105.8,   22.0,  0.00510,      0,      0,       0,       0,       0,       0
total,        137052,    5894,    5894,    5894,    33.4,    30.9,    52.7,    60.8,    72.5,    84.4,   23.1,  0.00488,      0,      0,       0,       0,       0,       0
total,        143530,    6046,    6046,    6046,    33.6,    30.5,    60.6,    68.9,    79.2,    93.4,   24.2,  0.00473,      0,      0,       0,       0,       0,       0
total,        149799,    6037,    6037,    6037,    33.2,    30.8,    56.7,    64.1,    77.8,   107.6,   25.2,  0.00458,      0,      0,       0,       0,       0,       0
total,        156202,    6048,    6048,    6048,    33.0,    30.8,    49.1,    67.6,    79.0,    94.1,   26.3,  0.00484,      0,      0,       0,       0,       0,       0
total,        162564,    6083,    6083,    6083,    32.9,    30.3,    59.9,    66.7,    75.9,    83.7,   27.3,  0.00471,      0,      0,       0,       0,       0,       0
total,        168976,    6091,    6091,    6091,    32.8,    30.6,    48.1,    65.5,    79.5,    87.6,   28.3,  0.00460,      0,      0,       0,       0,       0,       0
total,        175306,    6063,    6063,    6063,    33.0,    30.4,    50.4,    70.3,    82.0,    96.5,   29.4,  0.00447,      0,      0,       0,       0,       0,       0
total,        181761,    6087,    6087,    6087,    32.8,    30.2,    51.5,    72.6,    82.4,   100.9,   30.5,  0.00436,      0,      0,       0,       0,       0,       0
total,        188234,    6179,    6179,    6179,    32.4,    30.6,    47.0,    55.0,    64.0,    69.2,   31.5,  0.00436,      0,      0,       0,       0,       0,       0
total,        194522,    6032,    6032,    6032,    33.1,    30.9,    51.2,    61.7,    73.9,    96.4,   32.5,  0.00422,      0,      0,       0,       0,       0,       0
total,        200753,    6012,    6012,    6012,    33.3,    30.6,    59.7,    67.3,    80.1,    94.5,   33.6,  0.00409,      0,      0,       0,       0,       0,       0
total,        207074,    6056,    6056,    6056,    33.0,    30.9,    51.7,    60.3,    71.4,    78.1,   34.6,  0.00398,      0,      0,       0,       0,       0,       0
total,        213466,    5895,    5895,    5895,    34.0,    31.1,    59.7,    69.3,    82.0,    87.8,   35.7,  0.00389,      0,      0,       0,       0,       0,       0
total,        219767,    5985,    5985,    5985,    33.4,    30.7,    60.7,    67.1,    80.4,    89.3,   36.8,  0.00378,      0,      0,       0,       0,       0,       0
total,        225662,    5603,    5603,    5603,    35.6,    30.8,    49.9,   142.7,   152.3,   163.1,   37.8,  0.00389,      0,      0,       0,       0,       0,       0
total,        232074,    6087,    6087,    6087,    32.8,    30.4,    48.3,    73.1,    82.0,    85.5,   38.9,  0.00380,      0,      0,       0,       0,       0,       0
total,        238454,    6134,    6134,    6134,    32.6,    30.3,    48.5,    67.6,    82.0,    90.9,   39.9,  0.00375,      0,      0,       0,       0,       0,       0
total,        244791,    5984,    5984,    5984,    33.4,    30.6,    60.6,    70.7,    80.4,   107.9,   41.0,  0.00365,      0,      0,       0,       0,       0,       0
total,        251219,    6162,    6162,    6162,    32.4,    30.7,    47.5,    55.6,    65.0,    77.4,   42.0,  0.00362,      0,      0,       0,       0,       0,       0
