INFO  17:04:38 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  17:04:38 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up insert with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Generating batches with [1..1] partitions and [1..1] rows (of [1..1] total rows in the partitions)
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [insert, likelyquery0] with 250 threads for 5000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
insert,          370,     374,     374,     374,   136.8,   155.9,   277.0,   311.6,   329.3,   329.3,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
likelyquery0,       315,     318,     318,     318,   416.5,   461.6,   670.2,   722.6,   738.1,   738.1,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,           685,     692,     692,     692,   265.4,   188.6,   643.4,   700.4,   738.1,   738.1,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
insert,         7818,     103,     103,     103,   300.3,   280.8,   480.1,   610.9,   697.8,   856.7,   73.1,  0.18311,      0,      0,       0,       0,       0,       0
likelyquery0,     22260,     304,     304,     304,   717.8,   671.2,  1080.5,  1329.6,  1514.6,  1695.8,   73.1,  0.18311,      0,      0,       0,       0,       0,       0
total,         30078,     408,     408,     408,   612.0,   606.6,  1033.5,  1294.8,  1502.2,  1695.8,   73.1,  0.18311,      0,      0,       0,       0,       0,       0
insert,        15384,     102,     102,     102,   306.4,   289.4,   476.5,   563.7,   661.8,   725.6,  147.0,  0.15608,      0,      0,       0,       0,       0,       0
likelyquery0,     44458,     300,     300,     300,   728.4,   695.3,  1062.4,  1238.5,  1404.5,  1597.2,  147.0,  0.15608,      0,      0,       0,       0,       0,       0
total,         59842,     403,     403,     403,   621.2,   621.6,  1025.4,  1211.3,  1395.4,  1597.2,  147.0,  0.15608,      0,      0,       0,       0,       0,       0
insert,        26199,     101,     101,     101,   302.9,   290.6,   457.1,   566.8,   666.9,   761.7,  253.9,  0.13064,      0,      0,       0,       0,       0,       0
likelyquery0,     76828,     303,     303,     303,   724.3,   697.5,  1036.3,  1187.5,  1374.7,  1541.5,  253.9,  0.13064,      0,      0,       0,       0,       0,       0
total,        103027,     404,     404,     404,   618.8,   624.9,  1004.0,  1167.1,  1356.7,  1541.5,  253.9,  0.13064,      0,      0,       0,       0,       0,       0
insert,        36254,     101,     101,     101,   304.2,   287.4,   472.4,   616.7,   772.4,   935.3,  353.4,  0.11146,      0,      0,       0,       0,       0,       0
likelyquery0,    106935,     303,     303,     303,   725.3,   681.9,  1101.3,  1339.2,  1577.0,  1803.6,  353.4,  0.11146,      0,      0,       0,       0,       0,       0
total,        143189,     404,     404,     404,   619.9,   619.4,  1049.5,  1298.4,  1559.3,  1803.6,  353.4,  0.11146,      0,      0,       0,       0,       0,       0
insert,        41961,      97,      97,      97,   309.5,   287.6,   501.3,   606.4,   750.5,   776.8,  412.4,  0.09741,      0,      0,       0,       0,       0,       0
likelyquery0,    124786,     302,     302,     302,   728.3,   674.9,  1119.3,  1304.4,  1500.9,  1692.6,  412.4,  0.09741,      0,      0,       0,       0,       0,       0
total,        166747,     399,     399,     399,   626.9,   604.6,  1078.8,  1287.5,  1491.7,  1692.6,  412.4,  0.09741,      0,      0,       0,       0,       0,       0
insert,        51057,     105,     105,     105,   297.9,   284.9,   453.3,   564.4,   681.9,   757.2,  499.4,  0.08537,      0,      0,       0,       0,       0,       0
likelyquery0,    151544,     307,     307,     307,   711.2,   688.0,  1035.6,  1227.2,  1379.4,  1532.6,  499.4,  0.08537,      0,      0,       0,       0,       0,       0
total,        202601,     412,     412,     412,   606.4,   615.6,   992.2,  1200.1,  1360.6,  1532.6,  499.4,  0.08537,      0,      0,       0,       0,       0,       0
insert,        58625,     102,     102,     102,   298.3,   281.7,   474.5,   571.6,   693.8,   726.1,  573.9,  0.07610,      0,      0,       0,       0,       0,       0
likelyquery0,    174456,     308,     308,     308,   712.4,   668.3,  1077.9,  1250.6,  1428.0,  1628.1,  573.9,  0.07610,      0,      0,       0,       0,       0,       0
total,        233081,     409,     409,     409,   609.6,   601.0,  1039.8,  1227.2,  1407.1,  1628.1,  573.9,  0.07610,      0,      0,       0,       0,       0,       0
insert,        65201,     103,     103,     103,   297.9,   275.3,   486.6,   633.0,   920.8,  1121.2,  637.6,  0.06868,      0,      0,       0,       0,       0,       0
likelyquery0,    193862,     305,     305,     305,   722.4,   667.7,  1115.6,  1391.0,  1771.8,  1915.7,  637.6,  0.06868,      0,      0,       0,       0,       0,       0
total,        259063,     408,     408,     408,   615.0,   604.7,  1062.4,  1322.4,  1742.6,  1915.7,  637.6,  0.06868,      0,      0,       0,       0,       0,       0
insert,        74940,     103,     103,     103,   299.2,   284.6,   463.1,   554.6,   658.3,   876.8,  732.1,  0.06254,      0,      0,       0,       0,       0,       0
likelyquery0,    222769,     306,     306,     306,   717.0,   682.5,  1041.8,  1205.5,  1429.8,  1582.7,  732.2,  0.06254,      0,      0,       0,       0,       0,       0
total,        297709,     409,     409,     409,   611.7,   614.5,  1006.8,  1176.6,  1411.5,  1582.7,  732.2,  0.06254,      0,      0,       0,       0,       0,       0
insert,        83322,      95,      95,      95,   305.4,   287.0,   480.3,   582.6,   762.3,   882.1,  819.9,  0.05770,      0,      0,       0,       0,       0,       0
likelyquery0,    249490,     304,     304,     304,   723.4,   672.9,  1088.9,  1292.7,  1580.8,  1758.0,  819.9,  0.05770,      0,      0,       0,       0,       0,       0
total,        332812,     400,     400,     400,   623.6,   609.3,  1053.4,  1257.4,  1543.5,  1758.0,  819.9,  0.05770,      0,      0,       0,       0,       0,       0
insert,        90195,     100,     100,     100,   301.4,   289.8,   454.6,   528.0,   591.0,   650.4,  888.9,  0.05336,      0,      0,       0,       0,       0,       0
likelyquery0,    270635,     307,     307,     307,   717.6,   693.1,  1015.0,  1140.8,  1285.2,  1422.8,  888.9,  0.05336,      0,      0,       0,       0,       0,       0
total,        360830,     406,     406,     406,   615.5,   622.4,   985.4,  1122.4,  1273.0,  1422.8,  888.9,  0.05336,      0,      0,       0,       0,       0,       0
insert,        97670,     104,     104,     104,   301.1,   283.6,   474.1,   597.6,   734.9,   829.6,  960.8,  0.04955,      0,      0,       0,       0,       0,       0
likelyquery0,    292605,     306,     306,     306,   718.0,   674.0,  1078.7,  1278.6,  1521.9,  1709.3,  960.8,  0.04955,      0,      0,       0,       0,       0,       0
total,        390275,     409,     409,     409,   612.1,   604.6,  1033.8,  1243.3,  1518.1,  1709.3,  960.8,  0.04955,      0,      0,       0,       0,       0,       0
insert,       106055,     101,     101,     101,   298.7,   283.5,   458.1,   551.6,   662.4,   783.4, 1043.5,  0.04628,      0,      0,       0,       0,       0,       0
likelyquery0,    317970,     307,     307,     307,   713.0,   683.9,  1016.5,  1198.3,  1361.0,  1471.1, 1043.5,  0.04628,      0,      0,       0,       0,       0,       0
total,        424025,     408,     408,     408,   610.0,   620.9,   976.2,  1167.7,  1353.9,  1471.1, 1043.5,  0.04628,      0,      0,       0,       0,       0,       0
insert,       116926,     101,     101,     101,   300.9,   282.4,   482.0,   602.4,   778.1,   836.3, 1151.5,  0.04344,      0,      0,       0,       0,       0,       0
likelyquery0,    350987,     306,     306,     306,   720.1,   680.1,  1089.8,  1274.6,  1478.4,  1717.5, 1151.5,  0.04344,      0,      0,       0,       0,       0,       0
total,        467913,     406,     406,     406,   616.3,   609.4,  1047.3,  1246.3,  1467.2,  1717.5, 1151.5,  0.04344,      0,      0,       0,       0,       0,       0
insert,       124504,     103,     103,     103,   298.5,   275.7,   502.5,   632.8,   758.9,   825.0, 1225.4,  0.04087,      0,      0,       0,       0,       0,       0
