INFO  15:21:55 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  15:21:55 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [likelyquery0] with 250 threads for 20000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,          1560,    1561,    1561,    1561,   155.9,   160.8,   215.1,   255.5,   300.4,   307.6,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,          3344,    1388,    1388,    1388,   179.4,   174.4,   235.7,   271.0,   355.0,   358.3,    2.3,  0.04152,      0,      0,       0,       0,       0,       0
total,          5110,    1397,    1397,    1397,   178.9,   174.6,   220.3,   275.6,   378.5,   397.7,    3.5,  0.03174,      0,      0,       0,       0,       0,       0
total,          7072,    1483,    1483,    1483,   169.2,   164.4,   221.1,   269.2,   332.4,   332.7,    4.9,  0.02421,      0,      0,       0,       0,       0,       0
total,          8951,    1534,    1534,    1534,   163.3,   157.9,   214.7,   257.4,   296.5,   362.2,    6.1,  0.02130,      0,      0,       0,       0,       0,       0
total,         10961,    1635,    1635,    1635,   152.4,   147.1,   200.5,   257.0,   295.7,   332.6,    7.3,  0.02401,      0,      0,       0,       0,       0,       0
total,         13009,    1704,    1704,    1704,   148.2,   143.6,   191.4,   247.3,   281.4,   289.3,    8.5,  0.02682,      0,      0,       0,       0,       0,       0
total,         15222,    1842,    1842,    1842,   137.0,   131.7,   180.6,   225.8,   264.9,   299.8,    9.7,  0.03270,      0,      0,       0,       0,       0,       0
total,         17406,    1793,    1793,    1793,   138.0,   132.8,   179.1,   224.5,   281.9,   337.2,   10.9,  0.03220,      0,      0,       0,       0,       0,       0
total,         19594,    1816,    1816,    1816,   137.2,   131.7,   180.5,   232.0,   294.5,   297.2,   12.2,  0.03145,      0,      0,       0,       0,       0,       0
